RegioS,NettoArbeidsparticipatie_16,Perioden
PV29  ,71.0,2022JJ00
PV29  ,72.1,2023JJ00
PV30  ,67.6,2013JJ00
PV30  ,67.0,2014JJ00
PV30  ,67.5,2015JJ00
PV30  ,68.1,2016JJ00
PV30  ,69.1,2017JJ00
PV30  ,70.0,2018JJ00
PV30  ,71.3,2019JJ00
PV30  ,71.0,2020JJ00
PV30  ,71.9,2021JJ00
PV30  ,72.8,2022JJ00
PV30  ,73.8,2023JJ00
PV31  ,63.8,2013JJ00
PV31  ,63.1,2014JJ00
PV31  ,64.1,2015JJ00
PV31  ,64.5,2016JJ00
PV31  ,64.9,2017JJ00
PV31  ,66.2,2018JJ00
PV31  ,67.1,2019JJ00
PV31  ,66.4,2020JJ00
PV31  ,67.3,2021JJ00
PV31  ,68.1,2022JJ00
PV31  ,69.1,2023JJ00
CR01  ,61.6,2013JJ00
CR01  ,60.9,2014JJ00
CR01  ,61.9,2015JJ00
CR01  ,62.0,2016JJ00
CR01  ,62.7,2017JJ00
CR01  ,63.6,2018JJ00
CR01  ,64.6,2019JJ00
CR01  ,64.0,2020JJ00
CR01  ,66.3,2021JJ00
CR01  ,67.9,2022JJ00
CR01  ,68.6,2023JJ00
CR02  ,62.2,2013JJ00
CR02  ,61.6,2014JJ00
CR02  ,62.4,2015JJ00
CR02  ,62.9,2016JJ00
CR02  ,63.2,2017JJ00
CR02  ,64.2,2018JJ00
CR02  ,65.0,2019JJ00
CR02  ,64.4,2020JJ00
CR02  ,66.7,2021JJ00
CR02  ,68.0,2022JJ00
CR02  ,68.1,2023JJ00
CR03  ,65.1,2013JJ00
CR03  ,63.7,2014JJ00
CR03  ,64.3,2015JJ00
CR03  ,64.8,2016JJ00
CR03  ,65.8,2017JJ00
CR03  ,66.2,2018JJ00
CR03  ,67.1,2019JJ00
CR03  ,67.1,2020JJ00
CR03  ,69.1,2021JJ00
CR03  ,71.4,2022JJ00
CR03  ,71.5,2023JJ00
CR04  ,65.3,2013JJ00
CR04  ,64.6,2014JJ00
CR04  ,65.2,2015JJ00
CR04  ,65.7,2016JJ00
CR04  ,65.9,2017JJ00
CR04  ,67.5,2018JJ00
CR04  ,68.9,2019JJ00
CR04  ,68.1,2020JJ00
CR04  ,69.3,2021JJ00
CR04  ,71.2,2022JJ00
CR04  ,72.2,2023JJ00
CR05  ,66.2,2013JJ00
CR05  ,66.3,2014JJ00
CR05  ,66.4,2015JJ00
CR05  ,67.1,2016JJ00
CR05  ,67.9,2017JJ00
CR05  ,69.5,2018JJ00
CR05  ,70.4,2019JJ00
CR05  ,69.5,2020JJ00
CR05  ,70.4,2021JJ00
CR05  ,72.2,2022JJ00
CR05  ,72.6,2023JJ00
CR06  ,65.5,2013JJ00
CR06  ,65.5,2014JJ00
CR06  ,65.5,2015JJ00
CR06  ,66.1,2016JJ00
CR06  ,66.9,2017JJ00
CR06  ,68.3,2018JJ00
CR06  ,69.6,2019JJ00
CR06  ,69.0,2020JJ00
CR06  ,70.3,2021JJ00
CR06  ,71.7,2022JJ00
CR06  ,72.3,2023JJ00
CR07  ,66.5,2013JJ00
CR07  ,66.5,2014JJ00
CR07  ,66.5,2015JJ00
CR07  ,66.5,2016JJ00
CR07  ,67.8,2017JJ00
CR07  ,68.5,2018JJ00
CR07  ,69.1,2019JJ00
CR07  ,68.9,2020JJ00
CR07  ,69.9,2021JJ00
CR07  ,71.6,2022JJ00
CR07  ,72.3,2023JJ00
CR08  ,63.2,2013JJ00
CR08  ,62.8,2014JJ00
CR08  ,63.2,2015JJ00
CR08  ,62.3,2016JJ00
CR08  ,63.5,2017JJ00
CR08  ,64.2,2018JJ00
CR08  ,65.2,2019JJ00
CR08  ,64.7,2020JJ00
CR08  ,66.7,2021JJ00
CR08  ,68.2,2022JJ00
CR08  ,68.6,2023JJ00
CR09  ,66.0,2013JJ00
CR09  ,65.6,2014JJ00
CR09  ,66.3,2015JJ00
CR09  ,66.6,2016JJ00
CR09  ,68.1,2017JJ00
CR09  ,68.5,2018JJ00
CR09  ,70.0,2019JJ00
CR09  ,69.5,2020JJ00
CR09  ,70.0,2021JJ00
CR09  ,72.1,2022JJ00
CR09  ,72.6,2023JJ00
CR10  ,69.7,2013JJ00
CR10  ,69.0,2014JJ00
CR10  ,69.3,2015JJ00
CR10  ,69.5,2016JJ00
CR10  ,70.7,2017JJ00
CR10  ,72.3,2018JJ00
CR10  ,72.8,2019JJ00
CR10  ,72.0,2020JJ00
CR10  ,73.5,2021JJ00
CR10  ,75.6,2022JJ00
CR10  ,75.8,2023JJ00
CR11  ,68.9,2013JJ00
CR11  ,68.1,2014JJ00
CR11  ,68.8,2015JJ00
CR11  ,68.4,2016JJ00
CR11  ,69.8,2017JJ00
CR11  ,70.9,2018JJ00
CR11  ,71.5,2019JJ00
CR11  ,70.7,2020JJ00
CR11  ,71.5,2021JJ00
CR11  ,73.4,2022JJ00
CR11  ,74.0,2023JJ00
CR12  ,66.0,2013JJ00
CR12  ,65.4,2014JJ00
CR12  ,66.4,2015JJ00
CR12  ,66.1,2016JJ00
CR12  ,67.0,2017JJ00
CR12  ,68.5,2018JJ00
CR12  ,69.4,2019JJ00
CR12  ,68.4,2020JJ00
CR12  ,70.1,2021JJ00
CR12  ,72.3,2022JJ00
CR12  ,73.0,2023JJ00
CR13  ,68.5,2013JJ00
CR13  ,67.7,2014JJ00
CR13  ,68.0,2015JJ00
CR13  ,68.2,2016JJ00
CR13  ,69.4,2017JJ00
CR13  ,70.1,2018JJ00
CR13  ,70.8,2019JJ00
CR13  ,71.1,2020JJ00
CR13  ,71.8,2021JJ00
CR13  ,73.9,2022JJ00
CR13  ,75.0,2023JJ00
CR14  ,66.8,2013JJ00
CR14  ,66.0,2014JJ00
CR14  ,66.5,2015JJ00
CR14  ,66.4,2016JJ00
CR14  ,67.4,2017JJ00
CR14  ,68.3,2018JJ00
CR14  ,69.2,2019JJ00
CR14  ,69.3,2020JJ00
CR14  ,70.2,2021JJ00
CR14  ,72.0,2022JJ00
CR14  ,72.4,2023JJ00
CR15  ,67.2,2013JJ00
CR15  ,66.1,2014JJ00
CR15  ,66.3,2015JJ00
CR15  ,66.5,2016JJ00
CR15  ,67.8,2017JJ00
CR15  ,68.6,2018JJ00
CR15  ,69.1,2019JJ00
CR15  ,69.5,2020JJ00
CR15  ,70.0,2021JJ00
CR15  ,72.0,2022JJ00
CR15  ,72.8,2023JJ00
CR16  ,68.0,2013JJ00
CR16  ,67.5,2014JJ00
CR16  ,67.9,2015JJ00
CR16  ,68.4,2016JJ00
CR16  ,69.7,2017JJ00
CR16  ,70.5,2018JJ00
CR16  ,71.6,2019JJ00
CR16  ,71.8,2020JJ00
CR16  ,72.5,2021JJ00
CR16  ,74.1,2022JJ00
CR16  ,75.0,2023JJ00
CR17  ,69.9,2013JJ00
CR17  ,69.2,2014JJ00
CR17  ,69.4,2015JJ00
CR17  ,69.9,2016JJ00
CR17  ,70.4,2017JJ00
CR17  ,71.9,2018JJ00
CR17  ,73.0,2019JJ00
CR17  ,72.6,2020JJ00
CR17  ,73.0,2021JJ00
CR17  ,75.0,2022JJ00
CR17  ,75.6,2023JJ00
CR18  ,67.2,2013JJ00
CR18  ,67.1,2014JJ00
CR18  ,67.4,2015JJ00
CR18  ,67.9,2016JJ00
CR18  ,68.3,2017JJ00
CR18  ,69.1,2018JJ00
CR18  ,70.1,2019JJ00
CR18  ,69.7,2020JJ00
CR18  ,70.5,2021JJ00
