RegioS,JongerDan20Jaar_9,Perioden
LD04  ,387.0,2004JJ00
LD04  ,374.0,2005JJ00
LD04  ,329.0,2006JJ00
LD04  ,343.0,2007JJ00
LD04  ,356.0,2008JJ00
LD04  ,354.0,2009JJ00
LD04  ,308.0,2010JJ00
LD04  ,269.0,2011JJ00
LD04  ,262.0,2012JJ00
LD04  ,250.0,2013JJ00
LD04  ,225.0,2014JJ00
LD04  ,209.0,2015JJ00
LD04  ,200.0,2016JJ00
LD04  ,192.0,2017JJ00
LD04  ,152.0,2018JJ00
LD04  ,148.0,2019JJ00
LD04  ,147.0,2020JJ00
LD04  ,116.0,2021JJ00
LD04  ,143.0,2022JJ00
LD04  ,109.0,2023JJ00
PV20  ,91.0,1988JJ00
PV20  ,108.0,1989JJ00
PV20  ,109.0,1990JJ00
PV20  ,93.0,1991JJ00
PV20  ,88.0,1992JJ00
PV20  ,55.0,1993JJ00
PV20  ,65.0,1994JJ00
PV20  ,76.0,1995JJ00
PV20  ,97.0,1996JJ00
PV20  ,83.0,1997JJ00
PV20  ,86.0,1998JJ00
PV20  ,84.0,1999JJ00
PV20  ,112.0,2000JJ00
PV20  ,133.0,2001JJ00
PV20  ,108.0,2002JJ00
PV20  ,111.0,2003JJ00
PV20  ,82.0,2004JJ00
PV20  ,72.0,2005JJ00
PV20  ,79.0,2006JJ00
PV20  ,68.0,2007JJ00
PV20  ,71.0,2008JJ00
PV20  ,94.0,2009JJ00
PV20  ,107.0,2010JJ00
PV20  ,75.0,2011JJ00
PV20  ,63.0,2012JJ00
PV20  ,59.0,2013JJ00
PV20  ,41.0,2014JJ00
PV20  ,50.0,2015JJ00
PV20  ,65.0,2016JJ00
PV20  ,51.0,2017JJ00
PV20  ,39.0,2018JJ00
PV20  ,38.0,2019JJ00
PV20  ,39.0,2020JJ00
PV20  ,34.0,2021JJ00
PV20  ,35.0,2022JJ00
PV20  ,33.0,2023JJ00
PV21  ,82.0,1988JJ00
PV21  ,80.0,1989JJ00
PV21  ,69.0,1990JJ00
PV21  ,71.0,1991JJ00
PV21  ,71.0,1992JJ00
PV21  ,54.0,1993JJ00
PV21  ,51.0,1994JJ00
PV21  ,47.0,1995JJ00
PV21  ,59.0,1996JJ00
PV21  ,62.0,1997JJ00
PV21  ,73.0,1998JJ00
PV21  ,74.0,1999JJ00
PV21  ,97.0,2000JJ00
PV21  ,103.0,2001JJ00
PV21  ,99.0,2002JJ00
PV21  ,97.0,2003JJ00
PV21  ,75.0,2004JJ00
PV21  ,94.0,2005JJ00
PV21  ,65.0,2006JJ00
PV21  ,72.0,2007JJ00
PV21  ,73.0,2008JJ00
PV21  ,89.0,2009JJ00
PV21  ,81.0,2010JJ00
PV21  ,75.0,2011JJ00
PV21  ,55.0,2012JJ00
PV21  ,68.0,2013JJ00
PV21  ,53.0,2014JJ00
PV21  ,37.0,2015JJ00
PV21  ,44.0,2016JJ00
PV21  ,49.0,2017JJ00
PV21  ,40.0,2018JJ00
PV21  ,42.0,2019JJ00
PV21  ,31.0,2020JJ00
PV21  ,32.0,2021JJ00
PV21  ,31.0,2022JJ00
PV21  ,33.0,2023JJ00
PV22  ,53.0,1988JJ00
PV22  ,46.0,1989JJ00
