LD03  ,4059.0216.0,2015JJ00
LD03  ,4172.0224.0,2016JJ00
LD03  ,4214.0312.0,2017JJ00
LD03  ,4255.0283.0,2018JJ00
LD03  ,4445.0292.0,2019JJ00
LD03  ,4500.0258.0,2020JJ00
LD03  ,4785.0290.0,2021JJ00
LD03  ,4426.0263.0,2022JJ00
LD03  ,4506.0318.0,2023JJ00
LD04  ,310.026.0,1988JJ00
LD04  ,366.037.0,1989JJ00
LD04  ,411.043.0,1990JJ00
LD04  ,480.028.0,1991JJ00
LD04  ,493.026.0,1992JJ00
LD04  ,512.029.0,1993JJ00
LD04  ,483.028.0,1994JJ00
LD04  ,549.019.0,1995JJ00
LD04  ,559.026.0,1996JJ00
LD04  ,602.026.0,1997JJ00
LD04  ,681.020.0,1998JJ00
LD04  ,720.022.0,1999JJ00
LD04  ,802.021.0,2000JJ00
LD04  ,883.018.0,2001JJ00
LD04  ,884.030.0,2002JJ00
LD04  ,922.025.0,2003JJ00
LD04  ,942.025.0,2004JJ00
LD04  ,957.024.0,2005JJ00
LD04  ,1004.042.0,2006JJ00
LD04  ,1020.035.0,2007JJ00
LD04  ,1012.036.0,2008JJ00
LD04  ,1076.033.0,2009JJ00
LD04  ,1156.045.0,2010JJ00
LD04  ,1085.042.0,2011JJ00
LD04  ,1075.049.0,2012JJ00
LD04  ,995.039.0,2013JJ00
LD04  ,1071.051.0,2014JJ00
LD04  ,985.049.0,2015JJ00
LD04  ,1054.074.0,2016JJ00
LD04  ,992.061.0,2017JJ00
LD04  ,1145.068.0,2018JJ00
LD04  ,1113.078.0,2019JJ00
LD04  ,1181.060.0,2020JJ00
LD04  ,1292.072.0,2021JJ00
LD04  ,1235.068.0,2022JJ00
LD04  ,1170.075.0,2023JJ00
PV20  ,82.03.0,1988JJ00
PV20  ,88.04.0,1989JJ00
PV20  ,86.03.0,1990JJ00
PV20  ,92.07.0,1991JJ00
PV20  ,111.05.0,1992JJ00
PV20  ,109.09.0,1993JJ00
PV20  ,120.06.0,1994JJ00
PV20  ,156.06.0,1995JJ00
PV20  ,122.08.0,1996JJ00
PV20  ,139.04.0,1997JJ00
PV20  ,151.00.0,1998JJ00
PV20  ,179.05.0,1999JJ00
PV20  ,154.07.0,2000JJ00
PV20  ,181.03.0,2001JJ00
PV20  ,185.07.0,2002JJ00
PV20  ,176.04.0,2003JJ00
PV20  ,219.011.0,2004JJ00
PV20  ,196.09.0,2005JJ00
PV20  ,182.08.0,2006JJ00
PV20  ,200.05.0,2007JJ00
PV20  ,198.04.0,2008JJ00
PV20  ,231.06.0,2009JJ00
PV20  ,202.08.0,2010JJ00
PV20  ,228.010.0,2011JJ00
PV20  ,211.013.0,2012JJ00
PV20  ,188.012.0,2013JJ00
PV20  ,196.09.0,2014JJ00
PV20  ,206.09.0,2015JJ00
PV20  ,193.09.0,2016JJ00
PV20  ,170.013.0,2017JJ00
PV20  ,162.08.0,2018JJ00
PV20  ,183.07.0,2019JJ00
PV20  ,204.014.0,2020JJ00
PV20  ,202.014.0,2021JJ00
PV20  ,216.011.0,2022JJ00
PV20  ,208.015.0,2023JJ00
PV21  ,74.05.0,1988JJ00
PV21  ,92.03.0,1989JJ00
PV21  ,64.01.0,1990JJ00
PV21  ,87.03.0,1991JJ00
PV21  ,99.06.0,1992JJ00
PV21  ,118.04.0,1993JJ00
PV21  ,119.010.0,1994JJ00
PV21  ,147.04.0,1995JJ00
PV21  ,114.04.0,1996JJ00
PV21  ,137.06.0,1997JJ00
PV21  ,134.04.0,1998JJ00
PV21  ,169.06.0,1999JJ00
PV21  ,157.08.0,2000JJ00
PV21  ,168.09.0,2001JJ00
PV21  ,192.07.0,2002JJ00
PV21  ,192.08.0,2003JJ00
PV21  ,199.05.0,2004JJ00
PV21  ,207.03.0,2005JJ00
PV21  ,206.08.0,2006JJ00
PV21  ,194.03.0,2007JJ00
PV21  ,218.06.0,2008JJ00
PV21  ,237.07.0,2009JJ00
PV21  ,244.012.0,2010JJ00
PV21  ,234.011.0,2011JJ00
PV21  ,203.07.0,2012JJ00
PV21  ,191.07.0,2013JJ00
PV21  ,189.011.0,2014JJ00
PV21  ,195.08.0,2015JJ00
PV21  ,183.015.0,2016JJ00
PV21  ,189.013.0,2017JJ00
PV21  ,181.06.0,2018JJ00
PV21  ,190.011.0,2019JJ00
PV21  ,197.06.0,2020JJ00
PV21  ,189.06.0,2021JJ00
PV21  ,207.014.0,2022JJ00
PV21  ,206.015.0,2023JJ00
PV22  ,46.00.0,1988JJ00
PV22  ,53.02.0,1989JJ00
PV22  ,58.02.0,1990JJ00
PV22  ,55.02.0,1991JJ00
PV22  ,71.02.0,1992JJ00
PV22  ,81.03.0,1993JJ00
PV22  ,56.04.0,1994JJ00
PV22  ,74.02.0,1995JJ00
PV22  ,72.01.0,1996JJ00
PV22  ,91.01.0,1997JJ00
PV22  ,83.01.0,1998JJ00
PV22  ,81.05.0,1999JJ00
PV22  ,122.03.0,2000JJ00
PV22  ,116.03.0,2001JJ00
PV22  ,121.02.0,2002JJ00
PV22  ,108.03.0,2003JJ00
PV22  ,131.05.0,2004JJ00
PV22  ,130.04.0,2005JJ00
PV22  ,128.04.0,2006JJ00
PV22  ,146.04.0,2007JJ00
PV22  ,132.05.0,2008JJ00
PV22  ,154.03.0,2009JJ00
PV22  ,149.04.0,2010JJ00
PV22  ,158.04.0,2011JJ00
PV22  ,144.02.0,2012JJ00
PV22  ,121.02.0,2013JJ00
PV22  ,115.08.0,2014JJ00
PV22  ,106.010.0,2015JJ00
PV22  ,106.010.0,2016JJ00
PV22  ,142.08.0,2017JJ00
PV22  ,127.07.0,2018JJ00
PV22  ,136.013.0,2019JJ00
PV22  ,127.010.0,2020JJ00
PV22  ,149.07.0,2021JJ00
PV22  ,135.09.0,2022JJ00
PV22  ,155.09.0,2023JJ00
PV23  ,157.014.0,1988JJ00
PV23  ,147.05.0,1989JJ00
PV23  ,161.015.0,1990JJ00
PV23  ,152.016.0,1991JJ00
PV23  ,195.011.0,1992JJ00
PV23  ,185.07.0,1993JJ00
PV23  ,210.013.0,1994JJ00
PV23  ,195.02.0,1995JJ00
PV23  ,172.04.0,1996JJ00
PV23  ,214.06.0,1997JJ00
PV23  ,228.013.0,1998JJ00
PV23  ,277.09.0,1999JJ00
PV23  ,305.014.0,2000JJ00
PV23  ,307.013.0,2001JJ00
PV23  ,334.011.0,2002JJ00
PV23  ,301.014.0,2003JJ00
PV23  ,344.011.0,2004JJ00
PV23  ,328.015.0,2005JJ00
PV23  ,331.07.0,2006JJ00
PV23  ,336.020.0,2007JJ00
PV23  ,400.019.0,2008JJ00
PV23  ,411.016.0,2009JJ00
PV23  ,399.013.0,2010JJ00
PV23  ,421.022.0,2011JJ00
PV23  ,364.025.0,2012JJ00
PV23  ,374.025.0,2013JJ00
PV23  ,355.024.0,2014JJ00
PV23  ,355.025.0,2015JJ00
PV23  ,362.031.0,2016JJ00
PV23  ,322.015.0,2017JJ00
PV23  ,339.018.0,2018JJ00
PV23  ,364.019.0,2019JJ00
PV23  ,347.028.0,2020JJ00
PV23  ,388.016.0,2021JJ00
PV23  ,401.028.0,2022JJ00
PV23  ,359.015.0,2023JJ00
PV24  ,43.04.0,1988JJ00
PV24  ,50.05.0,1989JJ00
PV24  ,46.08.0,1990JJ00
PV24  ,59.04.0,1991JJ00
PV24  ,59.05.0,1992JJ00
PV24  ,79.05.0,1993JJ00
PV24  ,88.01.0,1994JJ00
PV24  ,97.05.0,1995JJ00
PV24  ,89.03.0,1996JJ00
PV24  ,91.02.0,1997JJ00
PV24  ,110.06.0,1998JJ00
PV24  ,113.04.0,1999JJ00
PV24  ,113.08.0,2000JJ00
PV24  ,125.08.0,2001JJ00
PV24  ,139.05.0,2002JJ00
PV24  ,162.07.0,2003JJ00
PV24  ,147.05.0,2004JJ00
PV24  ,166.09.0,2005JJ00
PV24  ,159.05.0,2006JJ00
PV24  ,165.011.0,2007JJ00
PV24  ,152.06.0,2008JJ00
PV24  ,171.08.0,2009JJ00
PV24  ,179.07.0,2010JJ00
PV24  ,178.011.0,2011JJ00
PV24  ,195.013.0,2012JJ00
PV24  ,163.08.0,2013JJ00
PV24  ,183.08.0,2014JJ00
PV24  ,170.05.0,2015JJ00
PV24  ,178.08.0,2016JJ00
PV24  ,173.011.0,2017JJ00
PV24  ,163.018.0,2018JJ00
PV24  ,194.020.0,2019JJ00
PV24  ,212.013.0,2020JJ00
PV24  ,230.015.0,2021JJ00
PV24  ,232.011.0,2022JJ00
PV24  ,239.017.0,2023JJ00
PV25  ,273.026.0,1988JJ00
PV25  ,333.029.0,1989JJ00
PV25  ,345.033.0,1990JJ00
PV25  ,388.034.0,1991JJ00
PV25  ,363.025.0,1992JJ00
PV25  ,410.021.0,1993JJ00
PV25  ,429.021.0,1994JJ00
PV25  ,421.019.0,1995JJ00
PV25  ,469.015.0,1996JJ00
PV25  ,477.018.0,1997JJ00
PV25  ,535.020.0,1998JJ00
