Regiokenmerken,LeerlingenStudenten_1,Perioden
PV25   ,168170.0,2021SJ00
PV25   ,168050.0,2022SJ00
PV25   ,166500.0,2023SJ00
PV26   ,124250.0,2011SJ00
PV26   ,123750.0,2012SJ00
PV26   ,122720.0,2013SJ00
PV26   ,121880.0,2014SJ00
PV26   ,121010.0,2015SJ00
PV26   ,120090.0,2016SJ00
PV26   ,119310.0,2017SJ00
PV26   ,118820.0,2018SJ00
PV26   ,121210.0,2019SJ00
PV26   ,120680.0,2020SJ00
PV26   ,119330.0,2021SJ00
PV26   ,119060.0,2022SJ00
PV26   ,118300.0,2023SJ00
PV27   ,245630.0,2011SJ00
PV27   ,243640.0,2012SJ00
PV27   ,241320.0,2013SJ00
PV27   ,239470.0,2014SJ00
PV27   ,237850.0,2015SJ00
PV27   ,235770.0,2016SJ00
PV27   ,233620.0,2017SJ00
PV27   ,232920.0,2018SJ00
PV27   ,232270.0,2019SJ00
PV27   ,230640.0,2020SJ00
PV27   ,227810.0,2021SJ00
PV27   ,226610.0,2022SJ00
PV27   ,225040.0,2023SJ00
PV28   ,326830.0,2011SJ00
PV28   ,324250.0,2012SJ00
PV28   ,321910.0,2013SJ00
PV28   ,320190.0,2014SJ00
PV28   ,320220.0,2015SJ00
PV28   ,319910.0,2016SJ00
PV28   ,319960.0,2017SJ00
PV28   ,320930.0,2018SJ00
PV28   ,317550.0,2019SJ00
PV28   ,316750.0,2020SJ00
PV28   ,314050.0,2021SJ00
PV28   ,314230.0,2022SJ00
PV28   ,311750.0,2023SJ00
PV29   ,34090.0,2011SJ00
PV29   ,33280.0,2012SJ00
PV29   ,32440.0,2013SJ00
PV29   ,31660.0,2014SJ00
PV29   ,31110.0,2015SJ00
PV29   ,30620.0,2016SJ00
PV29   ,30250.0,2017SJ00
PV29   ,30140.0,2018SJ00
PV29   ,30080.0,2019SJ00
PV29   ,29770.0,2020SJ00
PV29   ,29610.0,2021SJ00
PV29   ,29740.0,2022SJ00
PV29   ,29450.0,2023SJ00
PV30   ,224720.0,2011SJ00
PV30   ,221040.0,2012SJ00
PV30   ,216890.0,2013SJ00
PV30   ,213480.0,2014SJ00
PV30   ,210660.0,2015SJ00
PV30   ,207260.0,2016SJ00
PV30   ,204710.0,2017SJ00
PV30   ,203440.0,2018SJ00
PV30   ,202600.0,2019SJ00
PV30   ,200750.0,2020SJ00
PV30   ,198880.0,2021SJ00
PV30   ,198950.0,2022SJ00
PV30   ,197730.0,2023SJ00
PV31   ,87190.0,2011SJ00
PV31   ,84540.0,2012SJ00
PV31   ,82060.0,2013SJ00
PV31   ,79710.0,2014SJ00
PV31   ,78400.0,2015SJ00
PV31   ,76880.0,2016SJ00
PV31   ,75710.0,2017SJ00
PV31   ,74980.0,2018SJ00
PV31   ,74220.0,2019SJ00
PV31   ,73510.0,2020SJ00
PV31   ,72650.0,2021SJ00
PV31   ,72870.0,2022SJ00
PV31   ,72400.0,2023SJ00
PV99   ,3750.0,2011SJ00
PV99   ,3820.0,2012SJ00
PV99   ,3990.0,2013SJ00
PV99   ,3990.0,2014SJ00
PV99   ,3850.0,2015SJ00
PV99   ,3930.0,2016SJ00
PV99   ,3870.0,2017SJ00
PV99   ,3840.0,2018SJ00
PV99   ,3700.0,2019SJ00
PV99   ,3610.0,2020SJ00
