RegioS,MannenEnVrouwen_4,Perioden
LD04  ,8.3,2007JJ00
LD04  ,8.5,2008JJ00
LD04  ,8.4,2009JJ00
LD04  ,8.5,2010JJ00
LD04  ,8.4,2011JJ00
LD04  ,8.8,2012JJ00
LD04  ,8.8,2013JJ00
LD04  ,8.8,2014JJ00
LD04  ,9.3,2015JJ00
LD04  ,9.4,2016JJ00
LD04  ,9.5,2017JJ00
LD04  ,9.6,2018JJ00
LD04  ,9.5,2019JJ00
LD04  ,10.9,2020JJ00
LD04  ,10.7,2021JJ00
LD04  ,10.4,2022JJ00
LD04  ,10.4,2023JJ00
PV20  ,9.5,1988JJ00
PV20  ,9.6,1989JJ00
PV20  ,9.7,1990JJ00
PV20  ,9.7,1991JJ00
PV20  ,9.8,1992JJ00
PV20  ,10.2,1993JJ00
PV20  ,9.9,1994JJ00
PV20  ,9.6,1995JJ00
PV20  ,10.2,1996JJ00
PV20  ,9.9,1997JJ00
PV20  ,9.9,1998JJ00
PV20  ,10.0,1999JJ00
PV20  ,9.7,2000JJ00
PV20  ,10.0,2001JJ00
PV20  ,9.7,2002JJ00
PV20  ,9.7,2003JJ00
PV20  ,9.2,2004JJ00
PV20  ,9.1,2005JJ00
PV20  ,9.2,2006JJ00
PV20  ,8.8,2007JJ00
PV20  ,9.2,2008JJ00
PV20  ,9.1,2009JJ00
PV20  ,9.2,2010JJ00
PV20  ,9.1,2011JJ00
PV20  ,9.4,2012JJ00
PV20  ,9.3,2013JJ00
PV20  ,9.1,2014JJ00
PV20  ,9.4,2015JJ00
PV20  ,9.6,2016JJ00
PV20  ,9.7,2017JJ00
PV20  ,9.7,2018JJ00
PV20  ,9.4,2019JJ00
PV20  ,9.7,2020JJ00
PV20  ,10.5,2021JJ00
PV20  ,10.4,2022JJ00
PV20  ,10.3,2023JJ00
PV21  ,9.4,1988JJ00
PV21  ,9.4,1989JJ00
PV21  ,9.4,1990JJ00
PV21  ,9.2,1991JJ00
PV21  ,9.0,1992JJ00
PV21  ,9.8,1993JJ00
PV21  ,9.2,1994JJ00
PV21  ,9.6,1995JJ00
PV21  ,9.7,1996JJ00
PV21  ,9.3,1997JJ00
PV21  ,9.3,1998JJ00
PV21  ,9.4,1999JJ00
PV21  ,9.2,2000JJ00
PV21  ,9.3,2001JJ00
PV21  ,9.3,2002JJ00
PV21  ,9.0,2003JJ00
PV21  ,8.8,2004JJ00
PV21  ,8.7,2005JJ00
PV21  ,9.2,2006JJ00
PV21  ,8.5,2007JJ00
PV21  ,8.7,2008JJ00
PV21  ,8.7,2009JJ00
PV21  ,8.6,2010JJ00
PV21  ,8.7,2011JJ00
PV21  ,9.1,2012JJ00
PV21  ,9.2,2013JJ00
PV21  ,8.9,2014JJ00
PV21  ,9.4,2015JJ00
PV21  ,9.7,2016JJ00
PV21  ,9.7,2017JJ00
PV21  ,9.9,2018JJ00
PV21  ,9.6,2019JJ00
PV21  ,9.9,2020JJ00
PV21  ,10.8,2021JJ00
PV21  ,10.8,2022JJ00
PV21  ,10.6,2023JJ00
PV22  ,8.7,1988JJ00
PV22  ,8.9,1989JJ00
PV22  ,9.1,1990JJ00
PV22  ,9.2,1991JJ00
PV22  ,8.9,1992JJ00
PV22  ,9.5,1993JJ00
PV22  ,9.0,1994JJ00
PV22  ,9.7,1995JJ00
PV22  ,9.1,1996JJ00
PV22  ,9.2,1997JJ00
PV22  ,9.4,1998JJ00
PV22  ,9.5,1999JJ00
PV22  ,9.6,2000JJ00
PV22  ,9.2,2001JJ00
PV22  ,9.7,2002JJ00
PV22  ,9.3,2003JJ00
PV22  ,9.1,2004JJ00
PV22  ,9.0,2005JJ00
PV22  ,9.0,2006JJ00
PV22  ,9.0,2007JJ00
PV22  ,9.2,2008JJ00
PV22  ,9.2,2009JJ00
PV22  ,9.4,2010JJ00
PV22  ,9.5,2011JJ00
PV22  ,9.9,2012JJ00
PV22  ,9.8,2013JJ00
PV22  ,9.4,2014JJ00
PV22  ,10.2,2015JJ00
PV22  ,10.4,2016JJ00
PV22  ,10.6,2017JJ00
PV22  ,10.9,2018JJ00
PV22  ,10.4,2019JJ00
PV22  ,11.2,2020JJ00
PV22  ,11.8,2021JJ00
PV22  ,12.1,2022JJ00
PV22  ,11.5,2023JJ00
PV23  ,8.4,1988JJ00
PV23  ,8.8,1989JJ00
PV23  ,8.6,1990JJ00
PV23  ,8.8,1991JJ00
PV23  ,8.7,1992JJ00
PV23  ,9.3,1993JJ00
PV23  ,8.8,1994JJ00
PV23  ,8.8,1995JJ00
PV23  ,9.0,1996JJ00
PV23  ,8.9,1997JJ00
PV23  ,8.7,1998JJ00
PV23  ,9.0,1999JJ00
PV23  ,9.1,2000JJ00
PV23  ,9.0,2001JJ00
PV23  ,9.0,2002JJ00
PV23  ,9.0,2003JJ00
PV23  ,8.5,2004JJ00
PV23  ,8.4,2005JJ00
PV23  ,8.4,2006JJ00
PV23  ,8.0,2007JJ00
PV23  ,8.1,2008JJ00
PV23  ,8.2,2009JJ00
PV23  ,8.2,2010JJ00
PV23  ,8.1,2011JJ00
PV23  ,8.3,2012JJ00
PV23  ,8.6,2013JJ00
PV23  ,8.4,2014JJ00
PV23  ,8.7,2015JJ00
PV23  ,8.8,2016JJ00
PV23  ,8.9,2017JJ00
PV23  ,9.1,2018JJ00
PV23  ,9.0,2019JJ00
PV23  ,9.9,2020JJ00
PV23  ,10.0,2021JJ00
PV23  ,9.9,2022JJ00
PV23  ,9.7,2023JJ00
PV24  ,4.4,1988JJ00
PV24  ,5.0,1989JJ00
PV24  ,4.9,1990JJ00
PV24  ,5.0,1991JJ00
PV24  ,5.0,1992JJ00
PV24  ,5.1,1993JJ00
PV24  ,5.3,1994JJ00
