RegioS,WerkzameBeroepsbevolking_3,Perioden
PV29  ,189.0,2017JJ00
PV29  ,194.0,2018JJ00
PV29  ,195.0,2019JJ00
PV29  ,195.0,2020JJ00
PV29  ,199.0,2021JJ00
PV29  ,202.0,2022JJ00
PV29  ,205.0,2023JJ00
PV30  ,1266.0,2013JJ00
PV30  ,1258.0,2014JJ00
PV30  ,1269.0,2015JJ00
PV30  ,1288.0,2016JJ00
PV30  ,1317.0,2017JJ00
PV30  ,1341.0,2018JJ00
PV30  ,1375.0,2019JJ00
PV30  ,1377.0,2020JJ00
PV30  ,1396.0,2021JJ00
PV30  ,1424.0,2022JJ00
PV30  ,1453.0,2023JJ00
PV31  ,548.0,2013JJ00
PV31  ,540.0,2014JJ00
PV31  ,545.0,2015JJ00
PV31  ,549.0,2016JJ00
PV31  ,554.0,2017JJ00
PV31  ,563.0,2018JJ00
PV31  ,569.0,2019JJ00
PV31  ,562.0,2020JJ00
PV31  ,567.0,2021JJ00
PV31  ,574.0,2022JJ00
PV31  ,585.0,2023JJ00
CR01  ,64.0,2013JJ00
CR01  ,62.0,2014JJ00
CR01  ,63.0,2015JJ00
CR01  ,63.0,2016JJ00
CR01  ,63.0,2017JJ00
CR01  ,64.0,2018JJ00
CR01  ,65.0,2019JJ00
CR01  ,64.0,2020JJ00
CR01  ,66.0,2021JJ00
CR01  ,68.0,2022JJ00
CR01  ,68.0,2023JJ00
CR02  ,22.0,2013JJ00
CR02  ,22.0,2014JJ00
CR02  ,22.0,2015JJ00
CR02  ,22.0,2016JJ00
CR02  ,22.0,2017JJ00
CR02  ,22.0,2018JJ00
CR02  ,22.0,2019JJ00
CR02  ,22.0,2020JJ00
CR02  ,22.0,2021JJ00
CR02  ,23.0,2022JJ00
CR02  ,22.0,2023JJ00
CR03  ,201.0,2013JJ00
CR03  ,197.0,2014JJ00
CR03  ,200.0,2015JJ00
CR03  ,202.0,2016JJ00
CR03  ,207.0,2017JJ00
CR03  ,208.0,2018JJ00
CR03  ,212.0,2019JJ00
CR03  ,212.0,2020JJ00
CR03  ,218.0,2021JJ00
CR03  ,227.0,2022JJ00
CR03  ,229.0,2023JJ00
CR04  ,156.0,2013JJ00
CR04  ,154.0,2014JJ00
CR04  ,155.0,2015JJ00
CR04  ,157.0,2016JJ00
CR04  ,158.0,2017JJ00
CR04  ,161.0,2018JJ00
CR04  ,165.0,2019JJ00
CR04  ,164.0,2020JJ00
CR04  ,166.0,2021JJ00
CR04  ,171.0,2022JJ00
CR04  ,174.0,2023JJ00
CR05  ,68.0,2013JJ00
CR05  ,69.0,2014JJ00
CR05  ,69.0,2015JJ00
CR05  ,70.0,2016JJ00
CR05  ,71.0,2017JJ00
CR05  ,73.0,2018JJ00
CR05  ,74.0,2019JJ00
CR05  ,73.0,2020JJ00
CR05  ,73.0,2021JJ00
CR05  ,75.0,2022JJ00
CR05  ,75.0,2023JJ00
CR06  ,90.0,2013JJ00
CR06  ,90.0,2014JJ00
CR06  ,90.0,2015JJ00
CR06  ,91.0,2016JJ00
CR06  ,92.0,2017JJ00
CR06  ,94.0,2018JJ00
CR06  ,96.0,2019JJ00
CR06  ,95.0,2020JJ00
CR06  ,97.0,2021JJ00
CR06  ,99.0,2022JJ00
CR06  ,100.0,2023JJ00
CR07  ,93.0,2013JJ00
CR07  ,92.0,2014JJ00
CR07  ,92.0,2015JJ00
CR07  ,92.0,2016JJ00
CR07  ,95.0,2017JJ00
CR07  ,96.0,2018JJ00
CR07  ,97.0,2019JJ00
CR07  ,97.0,2020JJ00
CR07  ,98.0,2021JJ00
CR07  ,101.0,2022JJ00
CR07  ,102.0,2023JJ00
CR08  ,80.0,2013JJ00
CR08  ,80.0,2014JJ00
CR08  ,80.0,2015JJ00
CR08  ,79.0,2016JJ00
CR08  ,81.0,2017JJ00
CR08  ,81.0,2018JJ00
CR08  ,82.0,2019JJ00
CR08  ,82.0,2020JJ00
CR08  ,84.0,2021JJ00
CR08  ,86.0,2022JJ00
CR08  ,86.0,2023JJ00
CR09  ,63.0,2013JJ00
CR09  ,63.0,2014JJ00
CR09  ,63.0,2015JJ00
CR09  ,64.0,2016JJ00
CR09  ,66.0,2017JJ00
CR09  ,67.0,2018JJ00
CR09  ,69.0,2019JJ00
CR09  ,68.0,2020JJ00
CR09  ,69.0,2021JJ00
CR09  ,71.0,2022JJ00
CR09  ,72.0,2023JJ00
CR10  ,184.0,2013JJ00
CR10  ,183.0,2014JJ00
CR10  ,184.0,2015JJ00
CR10  ,186.0,2016JJ00
CR10  ,192.0,2017JJ00
CR10  ,198.0,2018JJ00
CR10  ,201.0,2019JJ00
CR10  ,200.0,2020JJ00
CR10  ,204.0,2021JJ00
CR10  ,212.0,2022JJ00
CR10  ,215.0,2023JJ00
CR11  ,78.0,2013JJ00
CR11  ,77.0,2014JJ00
CR11  ,78.0,2015JJ00
CR11  ,78.0,2016JJ00
CR11  ,80.0,2017JJ00
CR11  ,82.0,2018JJ00
CR11  ,83.0,2019JJ00
CR11  ,83.0,2020JJ00
CR11  ,84.0,2021JJ00
CR11  ,87.0,2022JJ00
CR11  ,88.0,2023JJ00
CR12  ,308.0,2013JJ00
CR12  ,304.0,2014JJ00
CR12  ,308.0,2015JJ00
CR12  ,307.0,2016JJ00
CR12  ,313.0,2017JJ00
CR12  ,321.0,2018JJ00
CR12  ,326.0,2019JJ00
CR12  ,322.0,2020JJ00
CR12  ,331.0,2021JJ00
CR12  ,342.0,2022JJ00
CR12  ,347.0,2023JJ00
CR13  ,335.0,2013JJ00
CR13  ,331.0,2014JJ00
CR13  ,334.0,2015JJ00
CR13  ,338.0,2016JJ00
CR13  ,347.0,2017JJ00
CR13  ,353.0,2018JJ00
CR13  ,360.0,2019JJ00
CR13  ,364.0,2020JJ00
CR13  ,368.0,2021JJ00
CR13  ,381.0,2022JJ00
CR13  ,390.0,2023JJ00
CR14  ,199.0,2013JJ00
CR14  ,195.0,2014JJ00
CR14  ,197.0,2015JJ00
CR14  ,197.0,2016JJ00
CR14  ,201.0,2017JJ00
CR14  ,204.0,2018JJ00
CR14  ,207.0,2019JJ00
CR14  ,208.0,2020JJ00
CR14  ,210.0,2021JJ00
CR14  ,215.0,2022JJ00
CR14  ,217.0,2023JJ00
CR15  ,366.0,2013JJ00
CR15  ,362.0,2014JJ00
CR15  ,364.0,2015JJ00
CR15  ,368.0,2016JJ00
CR15  ,378.0,2017JJ00
CR15  ,385.0,2018JJ00
CR15  ,390.0,2019JJ00
CR15  ,394.0,2020JJ00
CR15  ,397.0,2021JJ00
CR15  ,410.0,2022JJ00
CR15  ,418.0,2023JJ00
CR16  ,121.0,2013JJ00
CR16  ,120.0,2014JJ00
CR16  ,121.0,2015JJ00
CR16  ,123.0,2016JJ00
CR16  ,126.0,2017JJ00
CR16  ,129.0,2018JJ00
CR16  ,132.0,2019JJ00
CR16  ,134.0,2020JJ00
CR16  ,136.0,2021JJ00
CR16  ,140.0,2022JJ00
CR16  ,143.0,2023JJ00
CR17  ,670.0,2013JJ00
CR17  ,668.0,2014JJ00
CR17  ,673.0,2015JJ00
CR17  ,684.0,2016JJ00
CR17  ,697.0,2017JJ00
CR17  ,717.0,2018JJ00
CR17  ,735.0,2019JJ00
CR17  ,737.0,2020JJ00
CR17  ,745.0,2021JJ00
CR17  ,770.0,2022JJ00
CR17  ,784.0,2023JJ00
CR18  ,189.0,2013JJ00
CR18  ,188.0,2014JJ00
CR18  ,189.0,2015JJ00
CR18  ,191.0,2016JJ00
CR18  ,193.0,2017JJ00
CR18  ,195.0,2018JJ00
CR18  ,199.0,2019JJ00
