Regiokenmerken,VoortijdigSchoolverlaters_2,Perioden
PV26   ,2060.0,2016SJ00
PV26   ,2170.0,2017SJ00
PV26   ,2280.0,2018SJ00
PV26   ,1990.0,2019SJ00
PV26   ,2150.0,2020SJ00
PV26   ,2680.0,2021SJ00
PV26   ,2500.0,2022SJ00
PV27   ,5500.0,2012SJ00
PV27   ,5360.0,2013SJ00
PV27   ,5070.0,2014SJ00
PV27   ,4930.0,2015SJ00
PV27   ,5170.0,2016SJ00
PV27   ,5350.0,2017SJ00
PV27   ,5720.0,2018SJ00
PV27   ,4540.0,2019SJ00
PV27   ,4910.0,2020SJ00
PV27   ,6180.0,2021SJ00
PV27   ,6160.0,2022SJ00
PV28   ,7690.0,2012SJ00
PV28   ,7280.0,2013SJ00
PV28   ,6950.0,2014SJ00
PV28   ,6820.0,2015SJ00
PV28   ,6770.0,2016SJ00
PV28   ,7130.0,2017SJ00
PV28   ,7460.0,2018SJ00
PV28   ,6030.0,2019SJ00
PV28   ,6540.0,2020SJ00
PV28   ,8100.0,2021SJ00
PV28   ,7850.0,2022SJ00
PV29   ,660.0,2012SJ00
PV29   ,580.0,2013SJ00
PV29   ,600.0,2014SJ00
PV29   ,590.0,2015SJ00
PV29   ,560.0,2016SJ00
PV29   ,630.0,2017SJ00
PV29   ,650.0,2018SJ00
PV29   ,550.0,2019SJ00
PV29   ,630.0,2020SJ00
PV29   ,770.0,2021SJ00
PV29   ,720.0,2022SJ00
PV30   ,4360.0,2012SJ00
PV30   ,4140.0,2013SJ00
PV30   ,4090.0,2014SJ00
PV30   ,3910.0,2015SJ00
PV30   ,4030.0,2016SJ00
PV30   ,4330.0,2017SJ00
PV30   ,4310.0,2018SJ00
PV30   ,3760.0,2019SJ00
PV30   ,4040.0,2020SJ00
PV30   ,4940.0,2021SJ00
PV30   ,4940.0,2022SJ00
PV31   ,1720.0,2012SJ00
PV31   ,1600.0,2013SJ00
PV31   ,1650.0,2014SJ00
PV31   ,1630.0,2015SJ00
PV31   ,1660.0,2016SJ00
PV31   ,1680.0,2017SJ00
PV31   ,1670.0,2018SJ00
PV31   ,1420.0,2019SJ00
PV31   ,1540.0,2020SJ00
PV31   ,2020.0,2021SJ00
PV31   ,1920.0,2022SJ00
GM1680 ,20.0,2012SJ00
GM1680 ,10.0,2013SJ00
GM1680 ,20.0,2014SJ00
GM1680 ,30.0,2015SJ00
GM1680 ,20.0,2016SJ00
GM1680 ,30.0,2017SJ00
GM1680 ,30.0,2018SJ00
GM1680 ,20.0,2019SJ00
GM1680 ,40.0,2020SJ00
GM1680 ,40.0,2021SJ00
GM1680 ,40.0,2022SJ00
GM0738 ,30.0,2012SJ00
GM0738 ,20.0,2013SJ00
GM0738 ,20.0,2014SJ00
GM0738 ,20.0,2015SJ00
GM0738 ,10.0,2016SJ00
GM0738 ,20.0,2017SJ00
GM0738 ,20.0,2018SJ00
GM0738 ,,2019SJ00
GM0738 ,,2020SJ00
GM0738 ,,2021SJ00
GM0738 ,,2022SJ00
GM0358 ,50.0,2012SJ00
GM0358 ,50.0,2013SJ00
GM0358 ,50.0,2014SJ00
GM0358 ,40.0,2015SJ00
GM0358 ,50.0,2016SJ00
GM0358 ,50.0,2017SJ00
GM0358 ,50.0,2018SJ00
GM0358 ,50.0,2019SJ00
GM0358 ,40.0,2020SJ00
GM0358 ,70.0,2021SJ00
GM0358 ,90.0,2022SJ00
GM0197 ,30.0,2012SJ00
GM0197 ,30.0,2013SJ00
GM0197 ,10.0,2014SJ00
GM0197 ,20.0,2015SJ00
GM0197 ,30.0,2016SJ00
GM0197 ,30.0,2017SJ00
GM0197 ,40.0,2018SJ00
GM0197 ,30.0,2019SJ00
GM0197 ,40.0,2020SJ00
GM0197 ,40.0,2021SJ00
GM0197 ,30.0,2022SJ00
GM0059 ,40.0,2012SJ00
GM0059 ,30.0,2013SJ00
GM0059 ,40.0,2014SJ00
GM0059 ,30.0,2015SJ00
GM0059 ,30.0,2016SJ00
GM0059 ,40.0,2017SJ00
GM0059 ,40.0,2018SJ00
GM0059 ,40.0,2019SJ00
GM0059 ,50.0,2020SJ00
GM0059 ,40.0,2021SJ00
GM0059 ,60.0,2022SJ00
GM0482 ,30.0,2012SJ00
GM0482 ,30.0,2013SJ00
GM0482 ,30.0,2014SJ00
GM0482 ,40.0,2015SJ00
GM0482 ,30.0,2016SJ00
GM0482 ,30.0,2017SJ00
GM0482 ,40.0,2018SJ00
GM0482 ,30.0,2019SJ00
GM0482 ,50.0,2020SJ00
GM0482 ,40.0,2021SJ00
GM0482 ,30.0,2022SJ00
