,ID,Value,Year
706,GM0141,10.7,2015
707,GM0141,9.3,2016
708,GM0141,7.5,2017
709,GM0141,5.8,2018
710,GM0141,4.7,2019
711,GM0141,5.4,2020
712,GM0141,4.8,2021
713,GM0141,3.8,2022
714,GM0141,4.0,2023
715,GM0034,11.3,2013
716,GM0034,11.8,2014
717,GM0034,9.6,2015
718,GM0034,9.4,2016
719,GM0034,7.1,2017
720,GM0034,5.7,2018
721,GM0034,5.0,2019
722,GM0034,5.5,2020
723,GM0034,5.7,2021
724,GM0034,4.1,2022
725,GM0034,4.1,2023
726,GM0484,6.8,2013
727,GM0484,6.8,2014
728,GM0484,6.5,2015
729,GM0484,6.3,2016
730,GM0484,5.0,2017
731,GM0484,4.2,2018
732,GM0484,4.0,2019
733,GM0484,4.6,2020
734,GM0484,3.7,2021
735,GM0484,3.1,2022
736,GM0484,3.0,2023
737,GM1723,6.2,2013
738,GM1723,6.0,2014
739,GM1723,6.0,2015
740,GM1723,5.4,2016
741,GM1723,4.7,2017
742,GM1723,3.9,2018
743,GM1723,3.6,2019
744,GM1723,3.7,2020
745,GM1723,2.9,2021
746,GM1723,2.5,2022
747,GM1723,2.6,2023
748,GM1959,6.3,2013
749,GM1959,6.6,2014
750,GM1959,6.4,2015
751,GM1959,5.5,2016
752,GM1959,4.6,2017
753,GM1959,3.8,2018
754,GM1959,3.4,2019
755,GM1959,3.6,2020
756,GM1959,2.8,2021
757,GM1959,2.6,2022
758,GM1959,2.6,2023
759,GM0060,6.7,2013
760,GM0060,6.5,2014
761,GM0060,6.3,2015
762,GM0060,5.8,2016
763,GM0060,4.8,2017
764,GM0060,3.7,2018
765,GM0060,3.4,2019
766,GM0060,4.3,2020
767,GM0060,3.4,2021
768,GM0060,2.9,2022
769,GM0060,2.9,2023
770,GM0307,7.3,2013
771,GM0307,7.7,2014
772,GM0307,7.9,2015
773,GM0307,6.1,2016
774,GM0307,5.4,2017
775,GM0307,4.4,2018
776,GM0307,4.0,2019
777,GM0307,4.4,2020
778,GM0307,4.4,2021
779,GM0307,3.3,2022
780,GM0307,3.6,2023
781,GM0362,8.3,2013
782,GM0362,7.9,2014
783,GM0362,7.3,2015
784,GM0362,6.6,2016
785,GM0362,5.6,2017
786,GM0362,5.1,2018
787,GM0362,4.5,2019
788,GM0362,5.2,2020
789,GM0362,5.0,2021
790,GM0362,3.9,2022
791,GM0362,4.1,2023
792,GM0363,9.9,2013
793,GM0363,9.4,2014
794,GM0363,8.7,2015
795,GM0363,7.6,2016
796,GM0363,6.7,2017
797,GM0363,5.9,2018
798,GM0363,5.3,2019
799,GM0363,6.4,2020
800,GM0363,6.6,2021
801,GM0363,4.7,2022
802,GM0363,5.0,2023
803,GM0200,7.4,2013
804,GM0200,7.9,2014
805,GM0200,7.3,2015
806,GM0200,6.9,2016
807,GM0200,5.6,2017
808,GM0200,4.9,2018
809,GM0200,4.1,2019
810,GM0200,4.7,2020
811,GM0200,3.5,2021
