,ID,Value,Year
0,111,48.53,1997
1,111,48.4,1998
2,111,48.93,1999
3,111,49.59,2000
4,111,49.59,2001
5,111,49.27,2002
6,111,48.32,2003
7,111,47.83,2004
8,111,47.45,2005
9,111,48.06,2006
10,111,49.14,2007
11,111,50.51,2008
12,111,50.6,2009
13,111,51.14,2010
14,111,53.39,2011
15,111,54.22,2012
16,111,55.25,2013
17,111,56.1,2014
18,111,56.68,2015
19,111,57.92,2016
20,111,59.27,2017
21,111,60.6,2018
22,111,61.77,2019
23,111,61.96,2020
24,1,47.2,1997
25,1,46.76,1998
26,1,47.51,1999
27,1,48.03,2000
28,1,47.91,2001
29,1,47.63,2002
30,1,46.63,2003
31,1,46.06,2004
32,1,45.83,2005
33,1,46.62,2006
34,1,47.53,2007
35,1,48.73,2008
36,1,49.23,2009
37,1,49.7,2010
38,1,51.41,2011
39,1,52.38,2012
40,1,53.67,2013
41,1,54.47,2014
42,1,55.05,2015
43,1,55.95,2016
44,1,57.37,2017
45,1,58.58,2018
46,1,59.69,2019
47,1,59.98,2020
48,2,45.91,1997
49,2,45.79,1998
50,2,46.44,1999
51,2,47.45,2000
52,2,47.95,2001
53,2,47.68,2002
54,2,46.42,2003
55,2,45.79,2004
56,2,45.1,2005
57,2,45.53,2006
58,2,46.43,2007
59,2,48.18,2008
60,2,48.8,2009
61,2,49.25,2010
62,2,53.13,2011
63,2,54.02,2012
64,2,55.01,2013
65,2,55.69,2014
66,2,56.56,2015
67,2,58.02,2016
68,2,59.06,2017
69,2,60.2,2018
70,2,61.67,2019
71,2,61.56,2020
72,3,46.92,1997
73,3,46.85,1998
74,3,47.55,1999
75,3,48.44,2000
76,3,48.23,2001
77,3,48.1,2002
78,3,47.45,2003
79,3,46.94,2004
80,3,46.64,2005
81,3,47.21,2006
82,3,48.04,2007
83,3,49.38,2008
84,3,49.53,2009
85,3,50.08,2010
86,3,52.56,2011
87,3,53.75,2012
88,3,54.9,2013
89,3,55.83,2014
90,3,56.35,2015
91,3,57.53,2016
92,3,58.79,2017
93,3,60.08,2018
94,3,61.33,2019
95,3,61.73,2020
96,4,44.28,1997
97,4,43.94,1998
98,4,45.03,1999
99,4,45.87,2000
100,4,46.36,2001
101,4,45.63,2002
102,4,44.56,2003
103,4,43.55,2004
104,4,42.75,2005
105,4,43.08,2006
106,4,44.48,2007
107,4,45.93,2008
108,4,45.78,2009
109,4,46.34,2010
110,4,48.28,2011
111,4,49.1,2012
112,4,49.9,2013
113,4,50.78,2014
114,4,51.26,2015
115,4,52.27,2016
116,4,53.78,2017
117,4,54.72,2018
118,4,56.25,2019
119,4,56.55,2020
120,5,46.56,1997
121,5,46.57,1998
122,5,47.24,1999
123,5,48.22,2000
124,5,48.36,2001
125,5,48.18,2002
126,5,47.06,2003
127,5,46.45,2004
128,5,46.05,2005
129,5,46.27,2006
130,5,47.23,2007
131,5,48.47,2008
132,5,48.4,2009
133,5,48.77,2010
134,5,50.83,2011
135,5,51.49,2012
136,5,52.59,2013
137,5,53.29,2014
138,5,53.67,2015
139,5,55.0,2016
140,5,56.4,2017
141,5,57.82,2018
142,5,59.03,2019
143,5,59.39,2020
144,6,48.47,1997
145,6,48.26,1998
146,6,48.87,1999
147,6,49.82,2000
148,6,50.4,2001
149,6,50.24,2002
150,6,49.37,2003
151,6,48.68,2004
152,6,48.44,2005
153,6,48.87,2006
154,6,49.71,2007
155,6,50.79,2008
156,6,50.86,2009
157,6,51.17,2010
158,6,52.79,2011
159,6,53.5,2012
160,6,54.52,2013
161,6,55.35,2014
162,6,55.94,2015
163,6,57.27,2016
