,ID,Value,Year
6367,GM0388,76.1,2022
6368,GM0388,76.9,2023
6369,GM0153,67.5,2013
6370,GM0153,67.7,2014
6371,GM0153,68.3,2015
6372,GM0153,66.4,2016
6373,GM0153,66.6,2017
6374,GM0153,69.0,2018
6375,GM0153,69.1,2019
6376,GM0153,68.3,2020
6377,GM0153,71.0,2021
6378,GM0153,74.1,2022
6379,GM0153,74.2,2023
6380,GM0232,71.9,2013
6381,GM0232,70.8,2014
6382,GM0232,71.3,2015
6383,GM0232,72.3,2016
6384,GM0232,73.1,2017
6385,GM0232,72.1,2018
6386,GM0232,73.5,2019
6387,GM0232,72.1,2020
6388,GM0232,75.0,2021
6389,GM0232,76.8,2022
6390,GM0232,77.9,2023
6391,GM0233,71.6,2013
6392,GM0233,72.2,2014
6393,GM0233,72.6,2015
6394,GM0233,73.4,2016
6395,GM0233,74.0,2017
6396,GM0233,74.7,2018
6397,GM0233,75.4,2019
6398,GM0233,75.2,2020
6399,GM0233,76.1,2021
6400,GM0233,78.3,2022
6401,GM0233,78.4,2023
6402,GM0777,73.0,2013
6403,GM0777,73.7,2014
6404,GM0777,74.1,2015
6405,GM0777,74.5,2016
6406,GM0777,73.7,2017
6407,GM0777,74.8,2018
6408,GM0777,76.3,2019
6409,GM0777,74.2,2020
6410,GM0777,76.7,2021
6411,GM0777,76.6,2022
6412,GM0777,78.4,2023
6413,GM1940,71.5,2013
6414,GM1940,71.7,2014
6415,GM1940,71.5,2015
6416,GM1940,71.1,2016
6417,GM1940,72.2,2017
6418,GM1940,74.0,2018
6419,GM1940,74.6,2019
6420,GM1940,74.7,2020
6421,GM1940,74.8,2021
6422,GM1940,76.3,2022
6423,GM1940,76.3,2023
6424,GM0779,74.5,2013
6425,GM0779,74.7,2014
6426,GM0779,74.0,2015
6427,GM0779,74.9,2016
6428,GM0779,75.6,2017
6429,GM0779,77.1,2018
6430,GM0779,77.4,2019
6431,GM0779,77.1,2020
6432,GM0779,78.2,2021
6433,GM0779,79.0,2022
6434,GM0779,79.4,2023
6435,GM1771,71.6,2013
6436,GM1771,72.0,2014
6437,GM1771,71.8,2015
6438,GM1771,72.2,2016
6439,GM1771,73.8,2017
6440,GM1771,74.7,2018
6441,GM1771,74.9,2019
6442,GM1771,74.5,2020
6443,GM1771,75.8,2021
6444,GM1771,76.7,2022
6445,GM1771,78.0,2023
6446,GM1652,73.1,2013
6447,GM1652,72.8,2014
6448,GM1652,73.5,2015
6449,GM1652,75.3,2016
6450,GM1652,75.6,2017
6451,GM1652,75.4,2018
6452,GM1652,76.6,2019
6453,GM1652,75.9,2020
6454,GM1652,76.6,2021
6455,GM1652,77.9,2022
6456,GM1652,78.5,2023
6457,GM0907,71.0,2013
6458,GM0907,70.2,2014
6459,GM0907,71.2,2015
6460,GM0907,71.3,2016
6461,GM0907,71.9,2017
6462,GM0907,72.9,2018
6463,GM0907,74.0,2019
6464,GM0907,72.6,2020
6465,GM0907,72.9,2021
6466,GM0907,74.5,2022
6467,GM0907,75.7,2023
6468,GM0784,73.6,2013
6469,GM0784,72.8,2014
6470,GM0784,73.5,2015
6471,GM0784,73.2,2016
6472,GM0784,73.8,2017
6473,GM0784,74.9,2018
6474,GM0784,76.5,2019
6475,GM0784,75.4,2020
6476,GM0784,76.4,2021
6477,GM0784,77.8,2022
6478,GM0784,77.9,2023
6479,GM1924,74.2,2013
6480,GM1924,74.4,2014
6481,GM1924,74.8,2015
6482,GM1924,76.1,2016
6483,GM1924,76.0,2017
6484,GM1924,75.8,2018
6485,GM1924,76.8,2019
6486,GM1924,75.7,2020
6487,GM1924,77.8,2021
6488,GM1924,78.6,2022
6489,GM1924,80.0,2023
6490,GM0664,71.1,2013
6491,GM0664,72.4,2014
6492,GM0664,72.8,2015
6493,GM0664,74.8,2016
6494,GM0664,73.7,2017
6495,GM0664,75.7,2018
6496,GM0664,73.9,2019
6497,GM0664,74.4,2020
6498,GM0664,76.5,2021
6499,GM0664,77.5,2022
6500,GM0664,78.3,2023
6501,GM0785,72.2,2013
6502,GM0785,72.3,2014
6503,GM0785,72.4,2015
6504,GM0785,72.9,2016
6505,GM0785,73.2,2017
6506,GM0785,74.2,2018
6507,GM0785,74.4,2019
6508,GM0785,73.1,2020
6509,GM0785,75.0,2021
6510,GM0785,75.5,2022
6511,GM0785,77.5,2023
6512,GM1942,72.9,2013
6513,GM1942,71.8,2014
6514,GM1942,72.4,2015
6515,GM1942,72.7,2016
6516,GM1942,73.8,2017
6517,GM1942,74.6,2018
6518,GM1942,75.8,2019
6519,GM1942,73.2,2020
6520,GM1942,76.0,2021
6521,GM1942,78.6,2022
6522,GM1942,78.9,2023
6523,GM0512,71.8,2013
6524,GM0512,71.6,2014
6525,GM0512,71.4,2015
6526,GM0512,72.2,2016
6527,GM0512,74.0,2017
6528,GM0512,74.5,2018
6529,GM0512,76.5,2019
6530,GM0512,75.0,2020
6531,GM0512,75.4,2021
6532,GM0512,77.9,2022
6533,GM0512,78.6,2023
6534,GM0513,71.5,2013
6535,GM0513,71.9,2014
6536,GM0513,71.0,2015
6537,GM0513,71.2,2016
6538,GM0513,72.7,2017
6539,GM0513,74.6,2018
6540,GM0513,74.8,2019
6541,GM0513,74.1,2020
6542,GM0513,74.4,2021
6543,GM0513,76.5,2022
6544,GM0513,77.1,2023
6545,GM0518,67.7,2013
6546,GM0518,66.6,2014
6547,GM0518,66.4,2015
6548,GM0518,67.3,2016
6549,GM0518,68.6,2017
6550,GM0518,69.9,2018
6551,GM0518,70.6,2019
6552,GM0518,70.0,2020
6553,GM0518,68.4,2021
6554,GM0518,71.3,2022
6555,GM0518,73.8,2023
6556,GM0014,67.0,2013
6557,GM0014,64.7,2014
6558,GM0014,65.5,2015
6559,GM0014,65.4,2016
6560,GM0014,67.1,2017
6561,GM0014,66.3,2018
6562,GM0014,67.2,2019
6563,GM0014,68.4,2020
6564,GM0014,69.4,2021
6565,GM0014,73.9,2022
6566,GM0014,72.8,2023
6567,GM1729,69.1,2013
6568,GM1729,68.4,2014
6569,GM1729,68.0,2015
6570,GM1729,67.9,2016
6571,GM1729,69.8,2017
6572,GM1729,70.0,2018
6573,GM1729,70.0,2019
6574,GM1729,70.2,2020
6575,GM1729,70.5,2021
6576,GM1729,70.7,2022
6577,GM1729,71.6,2023
6578,GM0158,71.4,2013
6579,GM0158,70.5,2014
6580,GM0158,72.3,2015
6581,GM0158,71.8,2016
6582,GM0158,72.6,2017
6583,GM0158,73.5,2018
6584,GM0158,73.1,2019
6585,GM0158,73.0,2020
6586,GM0158,74.7,2021
6587,GM0158,76.2,2022
6588,GM0158,77.7,2023
6589,GM0392,73.1,2013
6590,GM0392,72.7,2014
6591,GM0392,73.7,2015
6592,GM0392,73.6,2016
6593,GM0392,75.4,2017
6594,GM0392,76.2,2018
6595,GM0392,75.8,2019
6596,GM0392,74.7,2020
6597,GM0392,76.2,2021
6598,GM0392,76.7,2022
6599,GM0392,78.5,2023
6600,GM0394,75.0,2013
6601,GM0394,75.0,2014
6602,GM0394,75.0,2015
6603,GM0394,76.3,2016
6604,GM0394,76.1,2017
6605,GM0394,76.7,2018
6606,GM0394,76.8,2019
6607,GM0394,76.4,2020
6608,GM0394,75.7,2021
6609,GM0394,79.3,2022
6610,GM0394,80.1,2023
6611,GM1655,71.6,2013
6612,GM1655,71.4,2014
6613,GM1655,72.4,2015
6614,GM1655,71.9,2016
6615,GM1655,73.9,2017
6616,GM1655,74.7,2018
6617,GM1655,75.1,2019
6618,GM1655,74.2,2020
6619,GM1655,75.1,2021
6620,GM1655,76.6,2022
6621,GM1655,77.6,2023
6622,GM0160,74.2,2013
6623,GM0160,73.5,2014
6624,GM0160,72.1,2015
6625,GM0160,72.6,2016
6626,GM0160,74.2,2017
6627,GM0160,75.8,2018
6628,GM0160,75.3,2019
6629,GM0160,74.5,2020
6630,GM0160,77.6,2021
6631,GM0160,78.2,2022
6632,GM0160,78.5,2023
6633,GM0243,73.6,2013
6634,GM0243,73.7,2014
6635,GM0243,73.3,2015
6636,GM0243,73.8,2016
6637,GM0243,73.7,2017
6638,GM0243,76.1,2018
6639,GM0243,75.8,2019
6640,GM0243,75.6,2020
6641,GM0243,76.9,2021
6642,GM0243,78.3,2022
6643,GM0243,79.2,2023
6644,GM0523,77.1,2013
6645,GM0523,77.2,2014
6646,GM0523,77.3,2015
6647,GM0523,76.8,2016
6648,GM0523,76.6,2017
6649,GM0523,78.4,2018
6650,GM0523,79.5,2019
6651,GM0523,78.2,2020
6652,GM0523,79.7,2021
6653,GM0523,80.8,2022
6654,GM0523,82.0,2023
6655,GM0072,68.2,2013
6656,GM0072,67.9,2014
6657,GM0072,67.6,2015
6658,GM0072,68.5,2016
6659,GM0072,69.6,2017
6660,GM0072,70.9,2018
6661,GM0072,71.2,2019
6662,GM0072,69.6,2020
6663,GM0072,71.6,2021
6664,GM0072,72.9,2022
6665,GM0072,74.3,2023
6666,GM0244,72.9,2013
6667,GM0244,73.6,2014
6668,GM0244,74.0,2015
6669,GM0244,75.2,2016
6670,GM0244,75.2,2017
6671,GM0244,74.6,2018
6672,GM0244,76.4,2019
6673,GM0244,76.4,2020
6674,GM0244,77.2,2021
6675,GM0244,78.4,2022
6676,GM0244,79.6,2023
6677,GM0396,72.8,2013
6678,GM0396,72.6,2014
6679,GM0396,73.3,2015
6680,GM0396,73.7,2016
6681,GM0396,74.6,2017
6682,GM0396,74.7,2018
6683,GM0396,75.7,2019
6684,GM0396,74.3,2020
6685,GM0396,74.5,2021
6686,GM0396,76.1,2022
6687,GM0396,77.6,2023
6688,GM0397,70.6,2013
6689,GM0397,70.7,2014
6690,GM0397,71.0,2015
6691,GM0397,71.8,2016
6692,GM0397,71.6,2017
6693,GM0397,73.0,2018
6694,GM0397,74.7,2019
6695,GM0397,74.4,2020
6696,GM0397,74.6,2021
6697,GM0397,77.2,2022
6698,GM0397,78.2,2023
6699,GM0246,72.7,2013
6700,GM0246,72.6,2014
6701,GM0246,73.6,2015
6702,GM0246,74.3,2016
6703,GM0246,74.0,2017
6704,GM0246,74.9,2018
6705,GM0246,76.1,2019
6706,GM0246,75.3,2020
6707,GM0246,77.0,2021
6708,GM0246,78.5,2022
6709,GM0246,79.2,2023
6710,GM0074,69.8,2013
6711,GM0074,71.0,2014
6712,GM0074,72.1,2015
6713,GM0074,71.9,2016
6714,GM0074,71.6,2017
6715,GM0074,73.4,2018
6716,GM0074,73.8,2019
6717,GM0074,73.9,2020
6718,GM0074,74.7,2021
6719,GM0074,75.7,2022
6720,GM0074,76.9,2023
6721,GM0917,63.7,2013
6722,GM0917,63.3,2014
6723,GM0917,63.9,2015
6724,GM0917,64.8,2016
6725,GM0917,65.0,2017
6726,GM0917,66.3,2018
6727,GM0917,66.6,2019
6728,GM0917,65.9,2020
6729,GM0917,66.3,2021
6730,GM0917,67.4,2022
6731,GM0917,68.6,2023
6732,GM1658,72.2,2013
6733,GM1658,72.3,2014
6734,GM1658,73.5,2015
6735,GM1658,72.6,2016
6736,GM1658,73.3,2017
6737,GM1658,73.7,2018
6738,GM1658,73.6,2019
6739,GM1658,74.0,2020
6740,GM1658,75.9,2021
6741,GM1658,75.9,2022
6742,GM1658,77.2,2023
6743,GM0399,71.3,2013
6744,GM0399,71.9,2014
6745,GM0399,72.7,2015
6746,GM0399,73.0,2016
6747,GM0399,72.1,2017
6748,GM0399,73.6,2018
6749,GM0399,73.7,2019
6750,GM0399,72.9,2020
6751,GM0399,74.2,2021
6752,GM0399,76.6,2022
6753,GM0399,76.6,2023
6754,GM0400,68.0,2013
6755,GM0400,69.3,2014
6756,GM0400,70.2,2015
6757,GM0400,70.2,2016
6758,GM0400,69.7,2017
6759,GM0400,70.4,2018
6760,GM0400,70.6,2019
6761,GM0400,69.7,2020
6762,GM0400,72.8,2021
6763,GM0400,73.6,2022
6764,GM0400,74.5,2023
6765,GM0163,73.6,2013
6766,GM0163,73.8,2014
6767,GM0163,73.7,2015
6768,GM0163,73.4,2016
6769,GM0163,75.2,2017
6770,GM0163,76.4,2018
6771,GM0163,77.4,2019
6772,GM0163,75.6,2020
6773,GM0163,76.9,2021
6774,GM0163,78.8,2022
6775,GM0163,79.5,2023
6776,GM0794,70.5,2013
6777,GM0794,69.3,2014
6778,GM0794,71.0,2015
6779,GM0794,71.4,2016
6780,GM0794,72.0,2017
6781,GM0794,73.3,2018
6782,GM0794,74.5,2019
6783,GM0794,73.4,2020
6784,GM0794,75.7,2021
6785,GM0794,76.5,2022
6786,GM0794,76.6,2023
6787,GM0531,77.1,2013
6788,GM0531,77.5,2014
6789,GM0531,78.0,2015
6790,GM0531,78.1,2016
6791,GM0531,78.4,2017
6792,GM0531,78.6,2018
6793,GM0531,79.4,2019
6794,GM0531,79.2,2020
6795,GM0531,79.8,2021
6796,GM0531,81.5,2022
6797,GM0531,82.4,2023
6798,GM0164,71.6,2013
6799,GM0164,70.0,2014
6800,GM0164,70.7,2015
6801,GM0164,71.7,2016
6802,GM0164,72.9,2017
6803,GM0164,72.8,2018
6804,GM0164,73.7,2019
6805,GM0164,71.1,2020
6806,GM0164,74.2,2021
6807,GM0164,76.7,2022
6808,GM0164,77.8,2023
6809,GM0796,73.3,2013
