,ID,Value,Year
0,111,12.09,2012
1,111,11.04,2013
2,111,11.07,2014
3,111,11.66,2015
4,111,11.76,2016
5,111,11.9,2017
6,111,12.1,2018
7,111,12.26,2019
8,111,12.28,2020
9,1,11.58,2012
10,1,10.6,2013
11,1,10.58,2014
12,1,11.43,2015
13,1,11.57,2016
14,1,11.8,2017
15,1,11.99,2018
16,1,12.12,2019
17,1,12.21,2020
18,2,11.78,2012
19,2,11.49,2013
20,2,11.77,2014
21,2,12.05,2015
22,2,12.26,2016
23,2,12.58,2017
24,2,12.79,2018
25,2,13.07,2019
26,2,13.12,2020
27,3,12.09,2012
28,3,10.91,2013
29,3,10.91,2014
30,3,11.58,2015
31,3,11.69,2016
32,3,11.79,2017
33,3,11.99,2018
34,3,12.15,2019
35,3,12.24,2020
36,4,12.65,2012
37,4,12.19,2013
38,4,12.5,2014
39,4,13.49,2015
40,4,13.93,2016
41,4,14.55,2017
42,4,14.95,2018
43,4,15.23,2019
44,4,15.49,2020
45,5,14.0,2012
46,5,12.95,2013
47,5,13.11,2014
48,5,13.76,2015
49,5,13.95,2016
50,5,14.09,2017
51,5,14.32,2018
52,5,14.5,2019
53,5,14.55,2020
54,6,12.78,2012
55,6,11.93,2013
56,6,12.14,2014
57,6,12.72,2015
58,6,12.88,2016
59,6,13.04,2017
60,6,13.28,2018
61,6,13.5,2019
62,6,13.56,2020
63,7,13.68,2012
64,7,12.48,2013
65,7,12.51,2014
66,7,13.11,2015
67,7,13.11,2016
68,7,13.15,2017
69,7,13.28,2018
70,7,13.48,2019
71,7,13.52,2020
72,8,14.9,2012
73,8,13.59,2013
74,8,13.58,2014
75,8,14.0,2015
76,8,13.93,2016
77,8,13.98,2017
78,8,14.06,2018
79,8,14.02,2019
80,8,13.84,2020
81,9,12.84,2012
82,9,11.57,2013
83,9,11.43,2014
84,9,11.75,2015
85,9,11.72,2016
86,9,11.72,2017
87,9,11.79,2018
88,9,11.8,2019
89,9,11.65,2020
90,10,14.57,2012
91,10,13.24,2013
92,10,13.16,2014
93,10,13.36,2015
94,10,13.23,2016
95,10,13.31,2017
96,10,13.56,2018
97,10,13.65,2019
98,10,13.52,2020
99,11,10.69,2012
100,11,10.23,2013
101,11,10.27,2014
102,11,10.68,2015
103,11,10.77,2016
104,11,11.08,2017
105,11,11.26,2018
106,11,11.49,2019
107,11,11.54,2020
108,12,6.36,2012
109,12,5.56,2013
110,12,5.53,2014
111,12,6.25,2015
112,12,6.5,2016
113,12,6.72,2017
114,12,7.02,2018
115,12,7.34,2019
116,12,7.63,2020
117,13,5.89,2012
118,13,5.1,2013
119,13,5.12,2014
120,13,6.14,2015
121,13,6.31,2016
122,13,6.55,2017
123,13,6.89,2018
124,13,7.31,2019
125,13,7.59,2020
126,14,5.73,2012
127,14,4.78,2013
128,14,4.71,2014
129,14,5.49,2015
130,14,5.72,2016
131,14,5.99,2017
132,14,6.32,2018
133,14,6.65,2019
134,14,6.9,2020
135,15,6.13,2012
136,15,5.2,2013
137,15,5.07,2014
138,15,5.92,2015
139,15,6.12,2016
140,15,6.37,2017
141,15,6.63,2018
142,15,6.95,2019
143,15,7.25,2020
144,16,5.85,2012
145,16,4.91,2013
146,16,4.85,2014
147,16,5.72,2015
148,16,5.92,2016
149,16,6.13,2017
150,16,6.53,2018
151,16,6.79,2019
152,16,7.01,2020
153,1001000,14.56,2012
154,1001000,13.13,2013
155,1001000,13.43,2014
156,1001000,15.02,2015
157,1001000,15.24,2016
158,1001000,15.7,2017
159,1001000,15.98,2018
160,1001000,16.59,2019
161,1001000,16.89,2020
162,1002000,13.24,2012
163,1002000,12.52,2013
164,1002000,12.63,2014
165,1002000,13.17,2015
166,1002000,13.5,2016
167,1002000,13.88,2017
168,1002000,14.19,2018
169,1002000,14.4,2019
170,1002000,14.54,2020
171,1003000,12.79,2012
172,1003000,11.57,2013
173,1003000,11.73,2014
174,1003000,12.03,2015
175,1003000,12.37,2016
176,1003000,12.85,2017
177,1003000,13.06,2018
178,1003000,13.17,2019
179,1003000,13.25,2020
180,1004000,14.11,2012
181,1004000,12.98,2013
182,1004000,12.68,2014
183,1004000,14.2,2015
184,1004000,14.52,2016
185,1004000,14.99,2017
186,1004000,15.52,2018
187,1004000,15.94,2019
188,1004000,16.33,2020
189,1051000,12.73,2012
190,1051000,11.53,2013
191,1051000,11.21,2014
192,1051000,12.7,2015
193,1051000,12.52,2016
194,1051000,12.66,2017
195,1051000,12.67,2018
196,1051000,12.83,2019
197,1051000,12.78,2020
198,1053000,10.89,2012
199,1053000,9.98,2013
200,1053000,10.02,2014
201,1053000,10.75,2015
202,1053000,10.68,2016
203,1053000,10.78,2017
204,1053000,10.92,2018
205,1053000,11.25,2019
206,1053000,11.5,2020
207,1054000,10.84,2012
208,1054000,10.08,2013
209,1054000,10.11,2014
210,1054000,11.61,2015
211,1054000,11.64,2016
212,1054000,11.72,2017
213,1054000,11.83,2018
214,1054000,11.73,2019
215,1054000,11.9,2020
216,1055000,10.99,2012
217,1055000,10.22,2013
218,1055000,10.09,2014
219,1055000,10.37,2015
220,1055000,10.61,2016
221,1055000,10.59,2017
222,1055000,10.77,2018
223,1055000,10.83,2019
224,1055000,10.56,2020
225,1056000,11.23,2012
226,1056000,10.56,2013
227,1056000,10.54,2014
228,1056000,10.91,2015
229,1056000,11.04,2016
230,1056000,11.39,2017
231,1056000,11.86,2018
232,1056000,11.95,2019
233,1056000,12.13,2020
234,1057000,10.31,2012
235,1057000,9.33,2013
236,1057000,9.27,2014
237,1057000,10.18,2015
238,1057000,10.42,2016
239,1057000,10.7,2017
240,1057000,10.67,2018
241,1057000,10.67,2019
242,1057000,10.73,2020
243,1058000,10.8,2012
244,1058000,9.79,2013
245,1058000,9.56,2014
246,1058000,10.96,2015
247,1058000,10.98,2016
248,1058000,11.05,2017
249,1058000,11.06,2018
250,1058000,11.25,2019
251,1058000,11.5,2020
252,1059000,11.99,2012
253,1059000,10.55,2013
254,1059000,10.72,2014
255,1059000,12.14,2015
256,1059000,12.22,2016
257,1059000,12.32,2017
258,1059000,12.23,2018
259,1059000,12.0,2019
260,1059000,11.9,2020
261,1060000,11.34,2012
262,1060000,10.36,2013
263,1060000,10.36,2014
264,1060000,11.2,2015
265,1060000,11.23,2016
266,1060000,11.35,2017
267,1060000,11.44,2018
268,1060000,11.66,2019
269,1060000,11.66,2020
270,1061000,12.2,2012
271,1061000,10.63,2013
272,1061000,10.54,2014
273,1061000,11.58,2015
274,1061000,11.93,2016
275,1061000,12.09,2017
276,1061000,12.46,2018
277,1061000,12.65,2019
278,1061000,12.64,2020
279,1062000,9.9,2012
280,1062000,8.94,2013
281,1062000,8.97,2014
282,1062000,9.38,2015
283,1062000,9.52,2016
284,1062000,9.85,2017
285,1062000,10.1,2018
286,1062000,10.08,2019
287,1062000,10.26,2020
288,2000000,11.78,2012
289,2000000,11.49,2013
290,2000000,11.77,2014
291,2000000,12.05,2015
292,2000000,12.26,2016
293,2000000,12.58,2017
294,2000000,12.79,2018
295,2000000,13.07,2019
296,2000000,13.12,2020
297,3101000,10.5,2012
298,3101000,9.74,2013
299,3101000,9.86,2014
300,3101000,10.64,2015
301,3101000,10.51,2016
302,3101000,10.73,2017
303,3101000,10.94,2018
304,3101000,11.15,2019
305,3101000,11.12,2020
306,3102000,13.64,2012
307,3102000,12.7,2013
308,3102000,12.94,2014
309,3102000,14.09,2015
310,3102000,14.33,2016
311,3102000,14.36,2017
312,3102000,14.71,2018
313,3102000,15.19,2019
314,3102000,15.28,2020
315,3103000,7.89,2012
316,3103000,7.81,2013
317,3103000,8.04,2014
318,3103000,8.3,2015
319,3103000,8.83,2016
