Kennziffer,Wert,Zeitbezug
01051074,333.93,2017
01051074,340.09,2018
01051074,344.14,2019
01051074,344.78,2020
01051075,433.02,2017
01051075,431.91,2018
01051075,482.61,2019
01051075,508.37,2020
01051076,376.31,2017
01051076,359.66,2018
01051076,388.89,2019
01051076,400.66,2020
01051077,270.49,2017
01051077,261.9,2018
01051077,252.1,2019
01051077,293.1,2020
01051078,383.41,2017
01051078,399.29,2018
01051078,390.29,2019
01051078,402.81,2020
01051079,401.46,2017
01051079,398.08,2018
01051079,443.04,2019
01051079,437.81,2020
01051080,378.57,2017
01051080,369.13,2018
01051080,393.1,2019
01051080,398.6,2020
01051081,310.86,2017
01051081,337.16,2018
01051081,350.19,2019
01051081,293.89,2020
01051082,360.92,2017
01051082,381.15,2018
01051082,386.63,2019
01051082,382.96,2020
01051083,410.09,2017
01051083,391.57,2018
01051083,424.15,2019
01051083,443.75,2020
01051084,315.99,2017
01051084,404.58,2018
01051084,410.91,2019
01051084,391.3,2020
01051085,314.61,2017
01051085,347.66,2018
01051085,342.63,2019
01051085,356.59,2020
01051086,318.94,2017
01051086,315.53,2018
01051086,326.88,2019
01051086,338.9,2020
01051087,365.93,2017
01051087,367.13,2018
01051087,371.58,2019
01051087,360.13,2020
01051088,360.24,2017
01051088,374.24,2018
01051088,382.25,2019
01051088,399.12,2020
01051089,395.83,2017
01051089,407.41,2018
01051089,412.7,2019
01051089,419.54,2020
01051090,333.33,2017
01051090,366.46,2018
01051090,412.16,2019
01051090,398.69,2020
01051092,346.38,2017
01051092,385.83,2018
01051092,384.47,2019
01051092,382.13,2020
01051093,391.61,2017
01051093,430.66,2018
01051093,450.52,2019
01051093,419.12,2020
01051096,347.83,2017
01051096,302.11,2018
01051096,329.23,2019
01051096,298.46,2020
01051097,356.45,2017
01051097,354.25,2018
01051097,360.99,2019
01051097,353.57,2020
01051098,371.22,2017
01051098,385.84,2018
01051098,422.41,2019
01051098,408.63,2020
01051099,385.17,2017
01051099,385.9,2018
01051099,413.46,2019
01051099,426.98,2020
01051100,398.64,2017
01051100,410.26,2018
01051100,435.9,2019
01051100,434.03,2020
01051102,337.5,2017
01051102,331.84,2018
01051102,296.61,2019
01051102,323.53,2020
01051103,306.01,2017
01051103,346.59,2018
01051103,331.46,2019
01051103,336.96,2020
01051104,362.32,2017
01051104,428.57,2018
01051104,402.78,2019
01051104,352.94,2020
01051105,399.5,2017
01051105,407.59,2018
01051105,424.24,2019
01051105,432.91,2020
01051107,349.17,2017
01051107,354.46,2018
01051107,377.72,2019
01051107,376.39,2020
01051108,348.84,2017
01051108,370.79,2018
01051108,376.47,2019
01051108,406.59,2020
01051109,354.43,2017
01051109,354.56,2018
01051109,355.93,2019
01051109,329.62,2020
01051110,350.25,2017
01051110,358.42,2018
01051110,370.86,2019
01051110,388.08,2020
01051113,408.98,2017
01051113,395.62,2018
01051113,395.24,2019
01051113,388.01,2020
01051114,365.91,2017
01051114,364.92,2018
01051114,362.96,2019
01051114,375.52,2020
01051117,313.25,2017
01051117,284.88,2018
01051117,304.35,2019
01051117,333.33,2020
01051118,405.74,2017
01051118,353.91,2018
01051118,371.54,2019
01051118,458.68,2020
01051119,301.41,2017
01051119,337.21,2018
01051119,333.33,2019
01051119,319.4,2020
01051120,264.71,2017
01051120,343.75,2018
01051120,406.25,2019
01051120,343.75,2020
