RegioS,LevendGeborenKinderenRelatief_2,Perioden
LD04  ,9.6,2011JJ00
LD04  ,9.2,2012JJ00
LD04  ,9.1,2013JJ00
LD04  ,9.2,2014JJ00
LD04  ,8.9,2015JJ00
LD04  ,9.1,2016JJ00
LD04  ,8.9,2017JJ00
LD04  ,8.8,2018JJ00
LD04  ,8.8,2019JJ00
LD04  ,8.7,2020JJ00
LD04  ,9.5,2021JJ00
LD04  ,8.8,2022JJ00
PV20  ,11.3,1988JJ00
PV20  ,11.3,1989JJ00
PV20  ,12.0,1990JJ00
PV20  ,11.8,1991JJ00
PV20  ,11.2,1992JJ00
PV20  ,11.2,1993JJ00
PV20  ,11.6,1994JJ00
PV20  ,11.3,1995JJ00
PV20  ,11.0,1996JJ00
PV20  ,11.4,1997JJ00
PV20  ,11.6,1998JJ00
PV20  ,11.6,1999JJ00
PV20  ,11.5,2000JJ00
PV20  ,11.7,2001JJ00
PV20  ,11.4,2002JJ00
PV20  ,11.2,2003JJ00
PV20  ,10.7,2004JJ00
PV20  ,10.3,2005JJ00
PV20  ,10.2,2006JJ00
PV20  ,9.9,2007JJ00
PV20  ,10.3,2008JJ00
PV20  ,10.3,2009JJ00
PV20  ,9.9,2010JJ00
PV20  ,10.1,2011JJ00
PV20  ,9.6,2012JJ00
PV20  ,9.1,2013JJ00
PV20  ,9.3,2014JJ00
PV20  ,9.1,2015JJ00
PV20  ,9.3,2016JJ00
PV20  ,8.7,2017JJ00
PV20  ,8.5,2018JJ00
PV20  ,8.6,2019JJ00
PV20  ,8.5,2020JJ00
PV20  ,9.0,2021JJ00
PV20  ,8.4,2022JJ00
PV21  ,12.4,1988JJ00
PV21  ,12.7,1989JJ00
PV21  ,12.5,1990JJ00
PV21  ,13.0,1991JJ00
PV21  ,12.6,1992JJ00
PV21  ,12.6,1993JJ00
PV21  ,12.3,1994JJ00
PV21  ,12.4,1995JJ00
PV21  ,12.1,1996JJ00
PV21  ,12.2,1997JJ00
PV21  ,12.5,1998JJ00
PV21  ,12.5,1999JJ00
PV21  ,12.8,2000JJ00
PV21  ,12.5,2001JJ00
PV21  ,12.5,2002JJ00
PV21  ,12.4,2003JJ00
PV21  ,11.8,2004JJ00
PV21  ,11.5,2005JJ00
PV21  ,11.3,2006JJ00
PV21  ,11.0,2007JJ00
PV21  ,10.9,2008JJ00
PV21  ,11.0,2009JJ00
PV21  ,10.8,2010JJ00
PV21  ,10.3,2011JJ00
PV21  ,10.0,2012JJ00
PV21  ,9.7,2013JJ00
PV21  ,9.8,2014JJ00
PV21  ,9.3,2015JJ00
PV21  ,9.3,2016JJ00
PV21  ,9.2,2017JJ00
PV21  ,8.9,2018JJ00
PV21  ,9.2,2019JJ00
PV21  ,9.0,2020JJ00
PV21  ,9.7,2021JJ00
PV21  ,8.8,2022JJ00
PV22  ,11.9,1988JJ00
PV22  ,11.6,1989JJ00
PV22  ,12.2,1990JJ00
PV22  ,12.0,1991JJ00
PV22  ,11.7,1992JJ00
PV22  ,12.0,1993JJ00
PV22  ,11.6,1994JJ00
PV22  ,11.6,1995JJ00
PV22  ,11.7,1996JJ00
PV22  ,11.7,1997JJ00
PV22  ,12.1,1998JJ00
PV22  ,12.3,1999JJ00
PV22  ,12.3,2000JJ00
PV22  ,12.3,2001JJ00
PV22  ,12.0,2002JJ00
PV22  ,11.4,2003JJ00
PV22  ,11.0,2004JJ00
PV22  ,10.5,2005JJ00
PV22  ,10.3,2006JJ00
PV22  ,10.0,2007JJ00
PV22  ,10.0,2008JJ00
PV22  ,10.2,2009JJ00
PV22  ,9.7,2010JJ00
PV22  ,9.4,2011JJ00
PV22  ,9.0,2012JJ00
PV22  ,8.5,2013JJ00
PV22  ,8.8,2014JJ00
PV22  ,8.2,2015JJ00
PV22  ,8.6,2016JJ00
PV22  ,8.5,2017JJ00
PV22  ,8.1,2018JJ00
PV22  ,8.3,2019JJ00
PV22  ,8.4,2020JJ00
PV22  ,9.0,2021JJ00
PV22  ,8.1,2022JJ00
PV23  ,13.1,1988JJ00
PV23  ,13.2,1989JJ00
PV23  ,13.6,1990JJ00
PV23  ,13.3,1991JJ00
PV23  ,13.4,1992JJ00
PV23  ,13.3,1993JJ00
PV23  ,13.2,1994JJ00
PV23  ,12.6,1995JJ00
PV23  ,12.6,1996JJ00
PV23  ,12.8,1997JJ00
PV23  ,13.2,1998JJ00
PV23  ,13.3,1999JJ00
PV23  ,13.8,2000JJ00
PV23  ,13.4,2001JJ00
PV23  ,13.4,2002JJ00
PV23  ,13.5,2003JJ00
PV23  ,12.7,2004JJ00
PV23  ,12.5,2005JJ00
PV23  ,12.3,2006JJ00
PV23  ,12.0,2007JJ00
PV23  ,11.9,2008JJ00
PV23  ,11.8,2009JJ00
PV23  ,11.6,2010JJ00
PV23  ,11.1,2011JJ00
PV23  ,10.9,2012JJ00
PV23  ,10.7,2013JJ00
PV23  ,10.6,2014JJ00
PV23  ,10.3,2015JJ00
PV23  ,10.2,2016JJ00
PV23  ,9.9,2017JJ00
PV23  ,9.7,2018JJ00
PV23  ,9.7,2019JJ00
PV23  ,9.5,2020JJ00
PV23  ,9.9,2021JJ00
PV23  ,9.6,2022JJ00
PV24  ,18.6,1988JJ00
PV24  ,16.9,1989JJ00
PV24  ,18.0,1990JJ00
PV24  ,17.4,1991JJ00
PV24  ,16.6,1992JJ00
PV24  ,16.7,1993JJ00
PV24  ,16.3,1994JJ00
PV24  ,15.5,1995JJ00
PV24  ,15.0,1996JJ00
PV24  ,15.2,1997JJ00
PV24  ,16.0,1998JJ00
PV24  ,15.8,1999JJ00
PV24  ,15.7,2000JJ00
PV24  ,15.9,2001JJ00
PV24  ,15.4,2002JJ00
PV24  ,15.3,2003JJ00
PV24  ,14.6,2004JJ00
PV24  ,14.4,2005JJ00
PV24  ,13.9,2006JJ00
PV24  ,13.9,2007JJ00
PV24  ,13.4,2008JJ00
PV24  ,13.7,2009JJ00
PV24  ,13.6,2010JJ00
PV24  ,12.9,2011JJ00
PV24  ,12.6,2012JJ00
PV24  ,11.7,2013JJ00
PV24  ,12.3,2014JJ00
PV24  ,11.8,2015JJ00
PV24  ,11.6,2016JJ00
PV24  ,11.1,2017JJ00
PV24  ,11.6,2018JJ00
PV24  ,11.7,2019JJ00
PV24  ,11.4,2020JJ00
PV24  ,12.0,2021JJ00
PV24  ,11.6,2022JJ00
PV25  ,12.6,1988JJ00
PV25  ,12.7,1989JJ00
PV25  ,13.2,1990JJ00
PV25  ,13.3,1991JJ00
PV25  ,12.8,1992JJ00
PV25  ,12.8,1993JJ00
PV25  ,12.8,1994JJ00
PV25  ,12.5,1995JJ00
PV25  ,12.3,1996JJ00
PV25  ,12.4,1997JJ00
PV25  ,12.8,1998JJ00
PV25  ,12.8,1999JJ00
PV25  ,13.2,2000JJ00
PV25  ,12.7,2001JJ00
PV25  ,12.7,2002JJ00
PV25  ,12.4,2003JJ00
PV25  ,11.8,2004JJ00
PV25  ,11.2,2005JJ00
PV25  ,11.2,2006JJ00
PV25  ,10.7,2007JJ00
PV25  ,10.9,2008JJ00
PV25  ,10.7,2009JJ00
PV25  ,10.6,2010JJ00
PV25  ,10.2,2011JJ00
PV25  ,9.9,2012JJ00
PV25  ,9.8,2013JJ00
PV25  ,9.8,2014JJ00
PV25  ,9.6,2015JJ00
PV25  ,9.6,2016JJ00
PV25  ,9.5,2017JJ00
PV25  ,9.4,2018JJ00
PV25  ,9.3,2019JJ00
PV25  ,9.5,2020JJ00
PV25  ,9.9,2021JJ00
PV25  ,9.2,2022JJ00
PV26  ,13.2,1988JJ00
PV26  ,13.5,1989JJ00
PV26  ,13.9,1990JJ00
PV26  ,13.9,1991JJ00
PV26  ,13.8,1992JJ00
PV26  ,13.6,1993JJ00
PV26  ,13.3,1994JJ00
PV26  ,13.1,1995JJ00
PV26  ,13.2,1996JJ00
PV26  ,13.2,1997JJ00
PV26  ,13.7,1998JJ00
PV26  ,13.9,1999JJ00
PV26  ,14.4,2000JJ00
PV26  ,14.1,2001JJ00
PV26  ,14.0,2002JJ00
PV26  ,14.0,2003JJ00
PV26  ,13.5,2004JJ00
PV26  ,13.1,2005JJ00
PV26  ,13.0,2006JJ00
PV26  ,12.9,2007JJ00
PV26  ,12.8,2008JJ00
PV26  ,12.7,2009JJ00
PV26  ,12.6,2010JJ00
PV26  ,12.0,2011JJ00
PV26  ,12.0,2012JJ00
PV26  ,11.5,2013JJ00
PV26  ,11.8,2014JJ00
PV26  ,11.3,2015JJ00
PV26  ,11.3,2016JJ00
PV26  ,11.3,2017JJ00
PV26  ,11.0,2018JJ00
PV26  ,11.1,2019JJ00
PV26  ,10.9,2020JJ00
PV26  ,11.6,2021JJ00
PV26  ,10.3,2022JJ00
PV27  ,12.4,1988JJ00
PV27  ,12.6,1989JJ00
PV27  ,13.1,1990JJ00
PV27  ,13.1,1991JJ00
PV27  ,13.0,1992JJ00
PV27  ,12.9,1993JJ00
PV27  ,12.8,1994JJ00
PV27  ,12.4,1995JJ00
PV27  ,12.3,1996JJ00
PV27  ,12.5,1997JJ00
PV27  ,12.9,1998JJ00
PV27  ,12.9,1999JJ00
PV27  ,13.3,2000JJ00
PV27  ,13.0,2001JJ00
PV27  ,12.8,2002JJ00
PV27  ,12.7,2003JJ00
PV27  ,12.4,2004JJ00
PV27  ,12.2,2005JJ00
PV27  ,11.7,2006JJ00
PV27  ,11.6,2007JJ00
PV27  ,11.7,2008JJ00
PV27  ,11.8,2009JJ00
PV27  ,11.8,2010JJ00
PV27  ,11.2,2011JJ00
PV27  ,11.0,2012JJ00
PV27  ,10.7,2013JJ00
PV27  ,10.9,2014JJ00
PV27  ,10.6,2015JJ00
PV27  ,10.7,2016JJ00
PV27  ,10.4,2017JJ00
PV27  ,10.3,2018JJ00
PV27  ,10.2,2019JJ00
PV27  ,10.1,2020JJ00
PV27  ,10.7,2021JJ00
PV27  ,9.7,2022JJ00
PV28  ,13.1,1988JJ00
PV28  ,13.1,1989JJ00
PV28  ,13.6,1990JJ00
PV28  ,13.6,1991JJ00
PV28  ,13.2,1992JJ00
PV28  ,13.0,1993JJ00
PV28  ,12.8,1994JJ00
PV28  ,12.3,1995JJ00
PV28  ,12.2,1996JJ00
PV28  ,12.4,1997JJ00
PV28  ,12.7,1998JJ00
PV28  ,12.7,1999JJ00
PV28  ,12.9,2000JJ00
PV28  ,12.7,2001JJ00
PV28  ,12.6,2002JJ00
PV28  ,12.4,2003JJ00
PV28  ,12.2,2004JJ00
PV28  ,11.8,2005JJ00
PV28  ,11.7,2006JJ00
PV28  ,11.4,2007JJ00
PV28  ,11.8,2008JJ00
PV28  ,11.8,2009JJ00
PV28  ,11.8,2010JJ00
PV28  ,11.7,2011JJ00
PV28  ,11.5,2012JJ00
PV28  ,11.0,2013JJ00
PV28  ,11.4,2014JJ00
PV28  ,10.9,2015JJ00
PV28  ,11.0,2016JJ00
PV28  ,10.8,2017JJ00
PV28  ,10.6,2018JJ00
PV28  ,10.6,2019JJ00
PV28  ,10.4,2020JJ00
PV28  ,10.8,2021JJ00
PV28  ,10.0,2022JJ00
PV29  ,11.8,1988JJ00
PV29  ,11.9,1989JJ00
PV29  ,12.6,1990JJ00
PV29  ,12.6,1991JJ00
PV29  ,12.6,1992JJ00
PV29  ,12.1,1993JJ00
PV29  ,12.4,1994JJ00
PV29  ,11.9,1995JJ00
PV29  ,11.9,1996JJ00
PV29  ,11.8,1997JJ00
PV29  ,12.0,1998JJ00
PV29  ,11.6,1999JJ00
PV29  ,12.0,2000JJ00
PV29  ,11.5,2001JJ00
PV29  ,11.2,2002JJ00
PV29  ,11.1,2003JJ00
PV29  ,10.8,2004JJ00
PV29  ,10.3,2005JJ00
PV29  ,10.0,2006JJ00
PV29  ,9.9,2007JJ00
PV29  ,10.3,2008JJ00
PV29  ,9.8,2009JJ00
PV29  ,9.7,2010JJ00
PV29  ,9.9,2011JJ00
PV29  ,9.5,2012JJ00
PV29  ,9.2,2013JJ00
PV29  ,9.6,2014JJ00
PV29  ,9.5,2015JJ00
PV29  ,9.1,2016JJ00
PV29  ,9.0,2017JJ00
PV29  ,8.8,2018JJ00
PV29  ,8.9,2019JJ00
PV29  ,8.9,2020JJ00
PV29  ,9.3,2021JJ00
PV29  ,8.9,2022JJ00
PV30  ,12.4,1988JJ00
PV30  ,12.7,1989JJ00
PV30  ,13.2,1990JJ00
PV30  ,13.1,1991JJ00
PV30  ,13.1,1992JJ00
PV30  ,12.7,1993JJ00
PV30  ,12.8,1994JJ00
PV30  ,12.4,1995JJ00
PV30  ,12.2,1996JJ00
PV30  ,12.3,1997JJ00
PV30  ,12.6,1998JJ00
PV30  ,12.5,1999JJ00
PV30  ,12.9,2000JJ00
PV30  ,12.3,2001JJ00
PV30  ,12.2,2002JJ00
PV30  ,12.0,2003JJ00
PV30  ,11.4,2004JJ00
PV30  ,10.9,2005JJ00
PV30  ,10.8,2006JJ00
PV30  ,10.5,2007JJ00
PV30  ,10.7,2008JJ00
PV30  ,10.5,2009JJ00
PV30  ,10.4,2010JJ00
PV30  ,10.2,2011JJ00
PV30  ,9.7,2012JJ00
PV30  ,9.5,2013JJ00
PV30  ,9.8,2014JJ00
PV30  ,9.4,2015JJ00
PV30  ,9.6,2016JJ00
PV30  ,9.3,2017JJ00
PV30  ,9.3,2018JJ00
PV30  ,9.2,2019JJ00
PV30  ,9.1,2020JJ00
PV30  ,9.9,2021JJ00
PV30  ,9.1,2022JJ00
PV31  ,11.8,1988JJ00
PV31  ,11.7,1989JJ00
PV31  ,12.4,1990JJ00
PV31  ,12.1,1991JJ00
PV31  ,11.7,1992JJ00
PV31  ,11.5,1993JJ00
PV31  ,11.3,1994JJ00
PV31  ,11.0,1995JJ00
PV31  ,10.7,1996JJ00
PV31  ,10.5,1997JJ00
PV31  ,10.9,1998JJ00
PV31  ,10.7,1999JJ00
PV31  ,10.7,2000JJ00
PV31  ,10.4,2001JJ00
PV31  ,10.1,2002JJ00
PV31  ,9.8,2003JJ00
PV31  ,9.4,2004JJ00
PV31  ,8.9,2005JJ00
PV31  ,8.7,2006JJ00
PV31  ,8.4,2007JJ00
PV31  ,8.4,2008JJ00
PV31  ,8.7,2009JJ00
PV31  ,8.6,2010JJ00
PV31  ,8.3,2011JJ00
PV31  ,8.1,2012JJ00
PV31  ,8.0,2013JJ00
PV31  ,7.9,2014JJ00
PV31  ,7.8,2015JJ00
PV31  ,8.1,2016JJ00
PV31  ,7.9,2017JJ00
PV31  ,7.8,2018JJ00
PV31  ,7.8,2019JJ00
PV31  ,7.7,2020JJ00
PV31  ,8.4,2021JJ00
PV31  ,7.9,2022JJ00
CR01  ,10.9,1988JJ00
CR01  ,10.8,1989JJ00
CR01  ,11.2,1990JJ00
CR01  ,11.3,1991JJ00
CR01  ,10.6,1992JJ00
CR01  ,10.7,1993JJ00
CR01  ,11.4,1994JJ00
CR01  ,10.7,1995JJ00
CR01  ,10.6,1996JJ00
CR01  ,10.7,1997JJ00
CR01  ,10.9,1998JJ00
CR01  ,11.0,1999JJ00
CR01  ,10.9,2000JJ00
CR01  ,11.0,2001JJ00
CR01  ,11.0,2002JJ00
CR01  ,10.3,2003JJ00
CR01  ,9.8,2004JJ00
CR01  ,9.6,2005JJ00
CR01  ,9.4,2006JJ00
CR01  ,9.1,2007JJ00
CR01  ,9.4,2008JJ00
CR01  ,9.9,2009JJ00
CR01  ,9.3,2010JJ00
CR01  ,9.1,2011JJ00
CR01  ,9.0,2012JJ00
CR01  ,8.5,2013JJ00
CR01  ,8.4,2014JJ00
CR01  ,8.2,2015JJ00
CR01  ,8.8,2016JJ00
CR01  ,7.9,2017JJ00
CR01  ,7.6,2018JJ00
CR01  ,7.9,2019JJ00
CR01  ,7.6,2020JJ00
CR01  ,7.9,2021JJ00
CR01  ,8.2,2022JJ00
CR02  ,11.8,1988JJ00
CR02  ,11.4,1989JJ00
CR02  ,12.7,1990JJ00
CR02  ,11.9,1991JJ00
CR02  ,11.4,1992JJ00
CR02  ,11.6,1993JJ00
CR02  ,11.5,1994JJ00
CR02  ,12.0,1995JJ00
CR02  ,11.5,1996JJ00
CR02  ,11.5,1997JJ00
CR02  ,11.7,1998JJ00
CR02  ,10.8,1999JJ00
CR02  ,11.5,2000JJ00
CR02  ,10.8,2001JJ00
CR02  ,10.6,2002JJ00
CR02  ,10.6,2003JJ00
CR02  ,10.4,2004JJ00
CR02  ,8.9,2005JJ00
CR02  ,9.7,2006JJ00
CR02  ,9.5,2007JJ00
CR02  ,9.4,2008JJ00
CR02  ,9.2,2009JJ00
CR02  ,9.5,2010JJ00
CR02  ,8.6,2011JJ00
CR02  ,8.9,2012JJ00
CR02  ,8.0,2013JJ00
CR02  ,8.4,2014JJ00
CR02  ,7.8,2015JJ00
CR02  ,9.0,2016JJ00
CR02  ,8.2,2017JJ00
CR02  ,7.4,2018JJ00
CR02  ,8.3,2019JJ00
CR02  ,7.5,2020JJ00
CR02  ,9.1,2021JJ00
CR02  ,7.8,2022JJ00
CR03  ,11.5,1988JJ00
CR03  ,11.6,1989JJ00
CR03  ,12.2,1990JJ00
CR03  ,12.0,1991JJ00
CR03  ,11.4,1992JJ00
CR03  ,11.4,1993JJ00
CR03  ,11.7,1994JJ00
CR03  ,11.5,1995JJ00
CR03  ,11.1,1996JJ00
CR03  ,11.6,1997JJ00
CR03  ,11.9,1998JJ00
CR03  ,12.0,1999JJ00
CR03  ,11.8,2000JJ00
CR03  ,12.0,2001JJ00
