RegioS,Beroepsbevolking_2,Perioden
PV29  ,198.0,2017JJ00
PV29  ,203.0,2018JJ00
PV29  ,202.0,2019JJ00
PV29  ,203.0,2020JJ00
PV29  ,207.0,2021JJ00
PV29  ,208.0,2022JJ00
PV29  ,211.0,2023JJ00
PV30  ,1371.0,2013JJ00
PV30  ,1367.0,2014JJ00
PV30  ,1372.0,2015JJ00
PV30  ,1378.0,2016JJ00
PV30  ,1392.0,2017JJ00
PV30  ,1404.0,2018JJ00
PV30  ,1435.0,2019JJ00
PV30  ,1443.0,2020JJ00
PV30  ,1447.0,2021JJ00
PV30  ,1472.0,2022JJ00
PV30  ,1502.0,2023JJ00
PV31  ,596.0,2013JJ00
PV31  ,588.0,2014JJ00
PV31  ,590.0,2015JJ00
PV31  ,587.0,2016JJ00
PV31  ,587.0,2017JJ00
PV31  ,591.0,2018JJ00
PV31  ,595.0,2019JJ00
PV31  ,591.0,2020JJ00
PV31  ,590.0,2021JJ00
PV31  ,596.0,2022JJ00
PV31  ,605.0,2023JJ00
CR01  ,70.0,2013JJ00
CR01  ,68.0,2014JJ00
CR01  ,69.0,2015JJ00
CR01  ,68.0,2016JJ00
CR01  ,68.0,2017JJ00
CR01  ,68.0,2018JJ00
CR01  ,68.0,2019JJ00
CR01  ,68.0,2020JJ00
CR01  ,69.0,2021JJ00
CR01  ,70.0,2022JJ00
CR01  ,71.0,2023JJ00
CR02  ,25.0,2013JJ00
CR02  ,24.0,2014JJ00
CR02  ,24.0,2015JJ00
CR02  ,24.0,2016JJ00
CR02  ,23.0,2017JJ00
CR02  ,23.0,2018JJ00
CR02  ,23.0,2019JJ00
CR02  ,23.0,2020JJ00
CR02  ,23.0,2021JJ00
CR02  ,23.0,2022JJ00
CR02  ,23.0,2023JJ00
CR03  ,221.0,2013JJ00
CR03  ,218.0,2014JJ00
CR03  ,222.0,2015JJ00
CR03  ,221.0,2016JJ00
CR03  ,223.0,2017JJ00
CR03  ,223.0,2018JJ00
CR03  ,225.0,2019JJ00
CR03  ,226.0,2020JJ00
CR03  ,230.0,2021JJ00
CR03  ,237.0,2022JJ00
CR03  ,239.0,2023JJ00
CR04  ,172.0,2013JJ00
CR04  ,169.0,2014JJ00
CR04  ,170.0,2015JJ00
CR04  ,170.0,2016JJ00
CR04  ,169.0,2017JJ00
CR04  ,171.0,2018JJ00
CR04  ,173.0,2019JJ00
CR04  ,173.0,2020JJ00
CR04  ,174.0,2021JJ00
CR04  ,178.0,2022JJ00
CR04  ,181.0,2023JJ00
CR05  ,74.0,2013JJ00
CR05  ,75.0,2014JJ00
CR05  ,74.0,2015JJ00
CR05  ,75.0,2016JJ00
CR05  ,75.0,2017JJ00
CR05  ,76.0,2018JJ00
CR05  ,77.0,2019JJ00
CR05  ,76.0,2020JJ00
CR05  ,76.0,2021JJ00
CR05  ,77.0,2022JJ00
CR05  ,78.0,2023JJ00
CR06  ,99.0,2013JJ00
CR06  ,99.0,2014JJ00
CR06  ,98.0,2015JJ00
CR06  ,98.0,2016JJ00
CR06  ,98.0,2017JJ00
CR06  ,99.0,2018JJ00
CR06  ,100.0,2019JJ00
CR06  ,100.0,2020JJ00
CR06  ,101.0,2021JJ00
CR06  ,102.0,2022JJ00
CR06  ,103.0,2023JJ00
CR07  ,100.0,2013JJ00
CR07  ,100.0,2014JJ00
CR07  ,99.0,2015JJ00
CR07  ,99.0,2016JJ00
CR07  ,100.0,2017JJ00
CR07  ,101.0,2018JJ00
CR07  ,101.0,2019JJ00
CR07  ,102.0,2020JJ00
CR07  ,101.0,2021JJ00
CR07  ,104.0,2022JJ00
CR07  ,105.0,2023JJ00
CR08  ,88.0,2013JJ00
CR08  ,87.0,2014JJ00
CR08  ,87.0,2015JJ00
CR08  ,85.0,2016JJ00
CR08  ,86.0,2017JJ00
CR08  ,86.0,2018JJ00
CR08  ,86.0,2019JJ00
CR08  ,86.0,2020JJ00
CR08  ,87.0,2021JJ00
CR08  ,89.0,2022JJ00
CR08  ,89.0,2023JJ00
CR09  ,69.0,2013JJ00
CR09  ,68.0,2014JJ00
CR09  ,69.0,2015JJ00
CR09  ,68.0,2016JJ00
CR09  ,70.0,2017JJ00
CR09  ,70.0,2018JJ00
CR09  ,71.0,2019JJ00
CR09  ,72.0,2020JJ00
CR09  ,71.0,2021JJ00
CR09  ,73.0,2022JJ00
CR09  ,74.0,2023JJ00
CR10  ,199.0,2013JJ00
CR10  ,197.0,2014JJ00
CR10  ,198.0,2015JJ00
CR10  ,200.0,2016JJ00
CR10  ,202.0,2017JJ00
CR10  ,207.0,2018JJ00
CR10  ,209.0,2019JJ00
