RegioS,k_45JaarOfOuder_15,Perioden
GM0767,0.0,1992JJ00
GM0767,0.0,1993JJ00
GM0767,0.0,1994JJ00
GM0767,0.0,1995JJ00
GM0767,0.0,1996JJ00
GM0767,,1997JJ00
GM0767,,1998JJ00
GM0767,,1999JJ00
GM0767,,2000JJ00
GM0767,,2001JJ00
GM0767,,2002JJ00
GM0767,,2003JJ00
GM0767,,2004JJ00
GM0767,,2005JJ00
GM0767,,2006JJ00
GM0767,,2007JJ00
GM0767,,2008JJ00
GM0767,,2009JJ00
GM0767,,2010JJ00
GM0767,,2011JJ00
GM0767,,2012JJ00
GM0767,,2013JJ00
GM0767,,2014JJ00
GM0767,,2015JJ00
GM0767,,2016JJ00
GM0767,,2017JJ00
GM0767,,2018JJ00
GM0767,,2019JJ00
GM0767,,2020JJ00
GM0767,,2021JJ00
GM0767,,2022JJ00
GM0767,,2023JJ00
GM0225,0.0,1988JJ00
GM0225,0.0,1989JJ00
GM0225,0.0,1990JJ00
GM0225,0.0,1991JJ00
GM0225,0.0,1992JJ00
GM0225,0.0,1993JJ00
GM0225,0.0,1994JJ00
GM0225,0.0,1995JJ00
GM0225,0.0,1996JJ00
GM0225,0.0,1997JJ00
GM0225,0.0,1998JJ00
GM0225,0.0,1999JJ00
GM0225,0.0,2000JJ00
GM0225,0.0,2001JJ00
GM0225,0.0,2002JJ00
GM0225,0.0,2003JJ00
GM0225,1.0,2004JJ00
GM0225,0.0,2005JJ00
GM0225,0.0,2006JJ00
GM0225,0.0,2007JJ00
GM0225,0.0,2008JJ00
GM0225,0.0,2009JJ00
GM0225,0.0,2010JJ00
GM0225,1.0,2011JJ00
GM0225,0.0,2012JJ00
GM0225,2.0,2013JJ00
GM0225,0.0,2014JJ00
GM0225,0.0,2015JJ00
GM0225,1.0,2016JJ00
GM0225,0.0,2017JJ00
GM0225,0.0,2018JJ00
GM0225,0.0,2019JJ00
GM0225,0.0,2020JJ00
GM0225,1.0,2021JJ00
GM0225,0.0,2022JJ00
GM0225,1.0,2023JJ00
GM0662,1.0,1988JJ00
GM0662,1.0,1989JJ00
GM0662,0.0,1990JJ00
GM0662,2.0,1991JJ00
GM0662,0.0,1992JJ00
GM0662,0.0,1993JJ00
GM0662,0.0,1994JJ00
GM0662,0.0,1995JJ00
GM0662,0.0,1996JJ00
GM0662,,1997JJ00
GM0662,,1998JJ00
GM0662,,1999JJ00
GM0662,,2000JJ00
GM0662,,2001JJ00
GM0662,,2002JJ00
GM0662,,2003JJ00
GM0662,,2004JJ00
GM0662,,2005JJ00
GM0662,,2006JJ00
GM0662,,2007JJ00
GM0662,,2008JJ00
GM0662,,2009JJ00
GM0662,,2010JJ00
GM0662,,2011JJ00
GM0662,,2012JJ00
GM0662,,2013JJ00
GM0662,,2014JJ00
GM0662,,2015JJ00
GM0662,,2016JJ00
GM0662,,2017JJ00
GM0662,,2018JJ00
GM0662,,2019JJ00
GM0662,,2020JJ00
GM0662,,2021JJ00
GM0662,,2022JJ00
GM0662,,2023JJ00
GM0226,0.0,1988JJ00
GM0226,0.0,1989JJ00
GM0226,0.0,1990JJ00
GM0226,0.0,1991JJ00
GM0226,0.0,1992JJ00
GM0226,0.0,1993JJ00
GM0226,0.0,1994JJ00
GM0226,0.0,1995JJ00
GM0226,0.0,1996JJ00
GM0226,0.0,1997JJ00
GM0226,0.0,1998JJ00
GM0226,0.0,1999JJ00
GM0226,0.0,2000JJ00
GM0226,0.0,2001JJ00
GM0226,0.0,2002JJ00
GM0226,0.0,2003JJ00
GM0226,0.0,2004JJ00
GM0226,0.0,2005JJ00
GM0226,0.0,2006JJ00
GM0226,0.0,2007JJ00
GM0226,0.0,2008JJ00
GM0226,0.0,2009JJ00
GM0226,0.0,2010JJ00
GM0226,0.0,2011JJ00
GM0226,0.0,2012JJ00
GM0226,0.0,2013JJ00
GM0226,1.0,2014JJ00
GM0226,0.0,2015JJ00
GM0226,0.0,2016JJ00
GM0226,0.0,2017JJ00
GM0226,2.0,2018JJ00
GM0226,0.0,2019JJ00
GM0226,1.0,2020JJ00
GM0226,0.0,2021JJ00
GM0226,0.0,2022JJ00
GM0226,0.0,2023JJ00
GM0768,0.0,1988JJ00
GM0768,0.0,1989JJ00
GM0768,0.0,1990JJ00
GM0768,0.0,1991JJ00
GM0768,0.0,1992JJ00
GM0768,0.0,1993JJ00
GM0768,0.0,1994JJ00
GM0768,0.0,1995JJ00
GM0768,,1996JJ00
GM0768,,1997JJ00
GM0768,,1998JJ00
GM0768,,1999JJ00
GM0768,,2000JJ00
GM0768,,2001JJ00
GM0768,,2002JJ00
GM0768,,2003JJ00
GM0768,,2004JJ00
GM0768,,2005JJ00
GM0768,,2006JJ00
GM0768,,2007JJ00
GM0768,,2008JJ00
GM0768,,2009JJ00
GM0768,,2010JJ00
GM0768,,2011JJ00
GM0768,,2012JJ00
GM0768,,2013JJ00
GM0768,,2014JJ00
GM0768,,2015JJ00
GM0768,,2016JJ00
GM0768,,2017JJ00
GM0768,,2018JJ00
GM0768,,2019JJ00
GM0768,,2020JJ00
GM0768,,2021JJ00
GM0768,,2022JJ00
GM0768,,2023JJ00
GM0769,0.0,1988JJ00
GM0769,0.0,1989JJ00
GM0769,0.0,1990JJ00
GM0769,0.0,1991JJ00
GM0769,0.0,1992JJ00
GM0769,0.0,1993JJ00
GM0769,0.0,1994JJ00
GM0769,0.0,1995JJ00
GM0769,0.0,1996JJ00
GM0769,,1997JJ00
GM0769,,1998JJ00
GM0769,,1999JJ00
GM0769,,2000JJ00
GM0769,,2001JJ00
GM0769,,2002JJ00
GM0769,,2003JJ00
GM0769,,2004JJ00
GM0769,,2005JJ00
GM0769,,2006JJ00
GM0769,,2007JJ00
GM0769,,2008JJ00
GM0769,,2009JJ00
GM0769,,2010JJ00
GM0769,,2011JJ00
GM0769,,2012JJ00
GM0769,,2013JJ00
GM0769,,2014JJ00
GM0769,,2015JJ00
GM0769,,2016JJ00
GM0769,,2017JJ00
GM0769,,2018JJ00
GM0769,,2019JJ00
GM0769,,2020JJ00
GM0769,,2021JJ00
GM0769,,2022JJ00
GM0769,,2023JJ00
GM0112,0.0,1988JJ00
GM0112,0.0,1989JJ00
GM0112,0.0,1990JJ00
GM0112,0.0,1991JJ00
GM0112,0.0,1992JJ00
GM0112,0.0,1993JJ00
GM0112,0.0,1994JJ00
GM0112,0.0,1995JJ00
GM0112,0.0,1996JJ00
GM0112,0.0,1997JJ00
GM0112,,1998JJ00
GM0112,,1999JJ00
GM0112,,2000JJ00
GM0112,,2001JJ00
GM0112,,2002JJ00
GM0112,,2003JJ00
GM0112,,2004JJ00
GM0112,,2005JJ00
GM0112,,2006JJ00
GM0112,,2007JJ00
GM0112,,2008JJ00
GM0112,,2009JJ00
GM0112,,2010JJ00
GM0112,,2011JJ00
GM0112,,2012JJ00
GM0112,,2013JJ00
GM0112,,2014JJ00
GM0112,,2015JJ00
GM0112,,2016JJ00
GM0112,,2017JJ00
GM0112,,2018JJ00
GM0112,,2019JJ00
GM0112,,2020JJ00
GM0112,,2021JJ00
GM0112,,2022JJ00
GM0112,,2023JJ00
GM0902,0.0,1988JJ00
GM0902,0.0,1989JJ00
GM0902,0.0,1990JJ00
GM0902,0.0,1991JJ00
GM0902,1.0,1992JJ00
GM0902,0.0,1993JJ00
GM0902,0.0,1994JJ00
GM0902,0.0,1995JJ00
GM0902,0.0,1996JJ00
GM0902,0.0,1997JJ00
GM0902,1.0,1998JJ00
GM0902,0.0,1999JJ00
GM0902,0.0,2000JJ00
GM0902,0.0,2001JJ00
GM0902,0.0,2002JJ00
GM0902,,2003JJ00
GM0902,,2004JJ00
GM0902,,2005JJ00
GM0902,,2006JJ00
GM0902,,2007JJ00
GM0902,,2008JJ00
GM0902,,2009JJ00
GM0902,,2010JJ00
GM0902,,2011JJ00
GM0902,,2012JJ00
GM0902,,2013JJ00
GM0902,,2014JJ00
GM0902,,2015JJ00
GM0902,,2016JJ00
GM0902,,2017JJ00
GM0902,,2018JJ00
GM0902,,2019JJ00
GM0902,,2020JJ00
GM0902,,2021JJ00
GM0902,,2022JJ00
GM0902,,2023JJ00
GM0227,0.0,1988JJ00
GM0227,0.0,1989JJ00
GM0227,0.0,1990JJ00
GM0227,0.0,1991JJ00
GM0227,1.0,1992JJ00
GM0227,0.0,1993JJ00
GM0227,0.0,1994JJ00
GM0227,0.0,1995JJ00
GM0227,0.0,1996JJ00
GM0227,1.0,1997JJ00
GM0227,0.0,1998JJ00
GM0227,1.0,1999JJ00
GM0227,0.0,2000JJ00
GM0227,0.0,2001JJ00
GM0227,,2002JJ00
GM0227,,2003JJ00
GM0227,,2004JJ00
GM0227,,2005JJ00
GM0227,,2006JJ00
GM0227,,2007JJ00
GM0227,,2008JJ00
GM0227,,2009JJ00
GM0227,,2010JJ00
GM0227,,2011JJ00
GM0227,,2012JJ00
GM0227,,2013JJ00
GM0227,,2014JJ00
GM0227,,2015JJ00
GM0227,,2016JJ00
GM0227,,2017JJ00
GM0227,,2018JJ00
GM0227,,2019JJ00
GM0227,,2020JJ00
GM0227,,2021JJ00
GM0227,,2022JJ00
GM0227,,2023JJ00
GM1711,,1988JJ00
GM1711,,1989JJ00
GM1711,,1990JJ00
GM1711,,1991JJ00
GM1711,,1992JJ00
GM1711,,1993JJ00
GM1711,,1994JJ00
GM1711,,1995JJ00
GM1711,,1996JJ00
GM1711,,1997JJ00
GM1711,,1998JJ00
GM1711,,1999JJ00
GM1711,,2000JJ00
GM1711,,2001JJ00
GM1711,,2002JJ00
GM1711,2.0,2003JJ00
GM1711,0.0,2004JJ00
GM1711,0.0,2005JJ00
GM1711,1.0,2006JJ00
GM1711,0.0,2007JJ00
GM1711,0.0,2008JJ00
GM1711,0.0,2009JJ00
GM1711,0.0,2010JJ00
GM1711,1.0,2011JJ00
GM1711,0.0,2012JJ00
GM1711,1.0,2013JJ00
GM1711,1.0,2014JJ00
GM1711,0.0,2015JJ00
GM1711,1.0,2016JJ00
GM1711,0.0,2017JJ00
GM1711,2.0,2018JJ00
GM1711,1.0,2019JJ00
GM1711,0.0,2020JJ00
GM1711,0.0,2021JJ00
GM1711,2.0,2022JJ00
GM1711,0.0,2023JJ00
GM0385,1.0,1988JJ00
GM0385,0.0,1989JJ00
GM0385,0.0,1990JJ00
GM0385,0.0,1991JJ00
GM0385,0.0,1992JJ00
GM0385,0.0,1993JJ00
GM0385,1.0,1994JJ00
GM0385,0.0,1995JJ00
GM0385,0.0,1996JJ00
GM0385,0.0,1997JJ00
GM0385,0.0,1998JJ00
GM0385,0.0,1999JJ00
GM0385,0.0,2000JJ00
GM0385,0.0,2001JJ00
GM0385,0.0,2002JJ00
GM0385,0.0,2003JJ00
GM0385,0.0,2004JJ00
GM0385,0.0,2005JJ00
GM0385,1.0,2006JJ00
GM0385,0.0,2007JJ00
GM0385,1.0,2008JJ00
GM0385,0.0,2009JJ00
GM0385,0.0,2010JJ00
GM0385,0.0,2011JJ00
GM0385,1.0,2012JJ00
GM0385,0.0,2013JJ00
GM0385,1.0,2014JJ00
GM0385,0.0,2015JJ00
GM0385,1.0,2016JJ00
GM0385,0.0,2017JJ00
GM0385,1.0,2018JJ00
GM0385,3.0,2019JJ00
GM0385,0.0,2020JJ00
GM0385,0.0,2021JJ00
GM0385,0.0,2022JJ00
GM0385,1.0,2023JJ00
GM0228,5.0,1988JJ00
GM0228,5.0,1989JJ00
GM0228,5.0,1990JJ00
GM0228,5.0,1991JJ00
GM0228,3.0,1992JJ00
GM0228,4.0,1993JJ00
GM0228,0.0,1994JJ00
GM0228,4.0,1995JJ00
GM0228,3.0,1996JJ00
GM0228,1.0,1997JJ00
GM0228,0.0,1998JJ00
GM0228,2.0,1999JJ00
GM0228,1.0,2000JJ00
GM0228,0.0,2001JJ00
GM0228,4.0,2002JJ00
GM0228,0.0,2003JJ00
GM0228,1.0,2004JJ00
GM0228,3.0,2005JJ00
GM0228,0.0,2006JJ00
GM0228,2.0,2007JJ00
GM0228,1.0,2008JJ00
GM0228,1.0,2009JJ00
GM0228,3.0,2010JJ00
GM0228,3.0,2011JJ00
GM0228,5.0,2012JJ00
GM0228,3.0,2013JJ00
GM0228,3.0,2014JJ00
GM0228,4.0,2015JJ00
GM0228,1.0,2016JJ00
GM0228,2.0,2017JJ00
GM0228,2.0,2018JJ00
GM0228,7.0,2019JJ00
GM0228,1.0,2020JJ00
GM0228,1.0,2021JJ00
GM0228,4.0,2022JJ00
GM0228,1.0,2023JJ00
GM0113,0.0,1988JJ00
GM0113,0.0,1989JJ00
GM0113,0.0,1990JJ00
GM0113,0.0,1991JJ00
GM0113,0.0,1992JJ00
GM0113,0.0,1993JJ00
GM0113,0.0,1994JJ00
GM0113,0.0,1995JJ00
GM0113,0.0,1996JJ00
GM0113,0.0,1997JJ00
GM0113,,1998JJ00
GM0113,,1999JJ00
GM0113,,2000JJ00
GM0113,,2001JJ00
GM0113,,2002JJ00
GM0113,,2003JJ00
GM0113,,2004JJ00
GM0113,,2005JJ00
GM0113,,2006JJ00
GM0113,,2007JJ00
GM0113,,2008JJ00
GM0113,,2009JJ00
GM0113,,2010JJ00
GM0113,,2011JJ00
GM0113,,2012JJ00
GM0113,,2013JJ00
GM0113,,2014JJ00
GM0113,,2015JJ00
GM0113,,2016JJ00
GM0113,,2017JJ00
GM0113,,2018JJ00
GM0113,,2019JJ00
GM0113,,2020JJ00
GM0113,,2021JJ00
GM0113,,2022JJ00
GM0113,,2023JJ00
GM0317,0.0,1988JJ00
GM0317,0.0,1989JJ00
GM0317,0.0,1990JJ00
GM0317,0.0,1991JJ00
GM0317,0.0,1992JJ00
GM0317,0.0,1993JJ00
GM0317,0.0,1994JJ00
GM0317,1.0,1995JJ00
GM0317,1.0,1996JJ00
GM0317,0.0,1997JJ00
GM0317,0.0,1998JJ00
GM0317,0.0,1999JJ00
GM0317,0.0,2000JJ00
GM0317,0.0,2001JJ00
GM0317,0.0,2002JJ00
GM0317,2.0,2003JJ00
GM0317,0.0,2004JJ00
GM0317,0.0,2005JJ00
GM0317,0.0,2006JJ00
GM0317,0.0,2007JJ00
GM0317,0.0,2008JJ00
GM0317,0.0,2009JJ00
GM0317,0.0,2010JJ00
GM0317,1.0,2011JJ00
GM0317,0.0,2012JJ00
GM0317,0.0,2013JJ00
GM0317,0.0,2014JJ00
GM0317,0.0,2015JJ00
GM0317,0.0,2016JJ00
GM0317,0.0,2017JJ00
GM0317,0.0,2018JJ00
GM0317,0.0,2019JJ00
GM0317,0.0,2020JJ00
GM0317,1.0,2021JJ00
GM0317,0.0,2022JJ00
GM0317,1.0,2023JJ00
GM1979,,1988JJ00
GM1979,,1989JJ00
GM1979,,1990JJ00
GM1979,,1991JJ00
GM1979,,1992JJ00
GM1979,,1993JJ00
GM1979,,1994JJ00
GM1979,,1995JJ00
GM1979,,1996JJ00
GM1979,,1997JJ00
GM1979,,1998JJ00
GM1979,,1999JJ00
GM1979,,2000JJ00
GM1979,,2001JJ00
GM1979,,2002JJ00
GM1979,,2003JJ00
GM1979,,2004JJ00
GM1979,,2005JJ00
GM1979,,2006JJ00
GM1979,,2007JJ00
GM1979,,2008JJ00
GM1979,,2009JJ00
GM1979,,2010JJ00
GM1979,,2011JJ00
GM1979,,2012JJ00
GM1979,,2013JJ00
GM1979,,2014JJ00
GM1979,,2015JJ00
GM1979,,2016JJ00
GM1979,,2017JJ00
GM1979,,2018JJ00
GM1979,,2019JJ00
GM1979,,2020JJ00
GM1979,1.0,2021JJ00
GM1979,0.0,2022JJ00
GM1979,0.0,2023JJ00
GM1651,,1988JJ00
GM1651,,1989JJ00
GM1651,,1990JJ00
GM1651,,1991JJ00
GM1651,0.0,1992JJ00
GM1651,0.0,1993JJ00
GM1651,0.0,1994JJ00
GM1651,1.0,1995JJ00
GM1651,0.0,1996JJ00
GM1651,0.0,1997JJ00
GM1651,0.0,1998JJ00
GM1651,0.0,1999JJ00
GM1651,0.0,2000JJ00
GM1651,0.0,2001JJ00
GM1651,0.0,2002JJ00
GM1651,0.0,2003JJ00
GM1651,1.0,2004JJ00
GM1651,1.0,2005JJ00
GM1651,0.0,2006JJ00
GM1651,1.0,2007JJ00
GM1651,0.0,2008JJ00
GM1651,0.0,2009JJ00
GM1651,0.0,2010JJ00
GM1651,0.0,2011JJ00
GM1651,0.0,2012JJ00
GM1651,0.0,2013JJ00
GM1651,0.0,2014JJ00
GM1651,0.0,2015JJ00
GM1651,0.0,2016JJ00
GM1651,0.0,2017JJ00
GM1651,0.0,2018JJ00
GM1651,,2019JJ00
GM1651,,2020JJ00
GM1651,,2021JJ00
GM1651,,2022JJ00
GM1651,,2023JJ00
GM0011,0.0,1988JJ00
GM0011,0.0,1989JJ00
GM0011,,1990JJ00
GM0011,,1991JJ00
GM0011,,1992JJ00
GM0011,,1993JJ00
GM0011,,1994JJ00
GM0011,,1995JJ00
GM0011,,1996JJ00
GM0011,,1997JJ00
GM0011,,1998JJ00
GM0011,,1999JJ00
GM0011,,2000JJ00
GM0011,,2001JJ00
GM0011,,2002JJ00
GM0011,,2003JJ00
GM0011,,2004JJ00
GM0011,,2005JJ00
GM0011,,2006JJ00
GM0011,,2007JJ00
GM0011,,2008JJ00
GM0011,,2009JJ00
GM0011,,2010JJ00
GM0011,,2011JJ00
GM0011,,2012JJ00
GM0011,,2013JJ00
GM0011,,2014JJ00
GM0011,,2015JJ00
GM0011,,2016JJ00
GM0011,,2017JJ00
GM0011,,2018JJ00
GM0011,,2019JJ00
GM0011,,2020JJ00
GM0011,,2021JJ00
GM0011,,2022JJ00
GM0011,,2023JJ00
GM0770,0.0,1988JJ00
GM0770,0.0,1989JJ00
GM0770,0.0,1990JJ00
GM0770,0.0,1991JJ00
GM0770,1.0,1992JJ00
GM0770,0.0,1993JJ00
GM0770,0.0,1994JJ00
GM0770,0.0,1995JJ00
GM0770,0.0,1996JJ00
GM0770,0.0,1997JJ00
GM0770,0.0,1998JJ00
GM0770,0.0,1999JJ00
GM0770,0.0,2000JJ00
GM0770,0.0,2001JJ00
GM0770,0.0,2002JJ00
GM0770,0.0,2003JJ00
GM0770,0.0,2004JJ00
GM0770,0.0,2005JJ00
GM0770,0.0,2006JJ00
GM0770,0.0,2007JJ00
GM0770,0.0,2008JJ00
GM0770,0.0,2009JJ00
GM0770,0.0,2010JJ00
GM0770,0.0,2011JJ00
GM0770,0.0,2012JJ00
GM0770,0.0,2013JJ00
GM0770,0.0,2014JJ00
GM0770,0.0,2015JJ00
GM0770,0.0,2016JJ00
GM0770,0.0,2017JJ00
GM0770,0.0,2018JJ00
GM0770,0.0,2019JJ00
GM0770,0.0,2020JJ00
GM0770,0.0,2021JJ00
GM0770,1.0,2022JJ00
GM0770,0.0,2023JJ00
GM0357,0.0,1988JJ00
GM0357,0.0,1989JJ00
GM0357,0.0,1990JJ00
GM0357,0.0,1991JJ00
GM0357,0.0,1992JJ00
GM0357,0.0,1993JJ00
GM0357,0.0,1994JJ00
GM0357,0.0,1995JJ00
GM0357,0.0,1996JJ00
GM0357,0.0,1997JJ00
GM0357,0.0,1998JJ00
GM0357,0.0,1999JJ00
GM0357,0.0,2000JJ00
GM0357,,2001JJ00
GM0357,,2002JJ00
GM0357,,2003JJ00
GM0357,,2004JJ00
GM0357,,2005JJ00
GM0357,,2006JJ00
GM0357,,2007JJ00
GM0357,,2008JJ00
GM0357,,2009JJ00
GM0357,,2010JJ00
GM0357,,2011JJ00
GM0357,,2012JJ00
GM0357,,2013JJ00
GM0357,,2014JJ00
GM0357,,2015JJ00
GM0357,,2016JJ00
GM0357,,2017JJ00
GM0357,,2018JJ00
GM0357,,2019JJ00
GM0357,,2020JJ00
GM0357,,2021JJ00
GM0357,,2022JJ00
GM0357,,2023JJ00
GM0229,0.0,1988JJ00
GM0229,0.0,1989JJ00
GM0229,1.0,1990JJ00
GM0229,0.0,1991JJ00
GM0229,0.0,1992JJ00
GM0229,1.0,1993JJ00
GM0229,0.0,1994JJ00
GM0229,0.0,1995JJ00
GM0229,0.0,1996JJ00
GM0229,0.0,1997JJ00
GM0229,0.0,1998JJ00
GM0229,0.0,1999JJ00
GM0229,0.0,2000JJ00
GM0229,0.0,2001JJ00
GM0229,0.0,2002JJ00
GM0229,0.0,2003JJ00
GM0229,1.0,2004JJ00
GM0229,,2005JJ00
GM0229,,2006JJ00
GM0229,,2007JJ00
GM0229,,2008JJ00
GM0229,,2009JJ00
GM0229,,2010JJ00
GM0229,,2011JJ00
GM0229,,2012JJ00
GM0229,,2013JJ00
GM0229,,2014JJ00
GM0229,,2015JJ00
GM0229,,2016JJ00
GM0229,,2017JJ00
GM0229,,2018JJ00
GM0229,,2019JJ00
GM0229,,2020JJ00
GM0229,,2021JJ00
GM0229,,2022JJ00
GM0229,,2023JJ00
GM0905,0.0,1988JJ00
GM0905,0.0,1989JJ00
GM0905,0.0,1990JJ00
GM0905,0.0,1991JJ00
GM0905,0.0,1992JJ00
GM0905,0.0,1993JJ00
GM0905,0.0,1994JJ00
GM0905,0.0,1995JJ00
GM0905,0.0,1996JJ00
GM0905,1.0,1997JJ00
GM0905,0.0,1998JJ00
GM0905,0.0,1999JJ00
GM0905,0.0,2000JJ00
GM0905,0.0,2001JJ00
GM0905,0.0,2002JJ00
GM0905,0.0,2003JJ00
GM0905,0.0,2004JJ00
GM0905,0.0,2005JJ00
GM0905,0.0,2006JJ00
GM0905,0.0,2007JJ00
GM0905,0.0,2008JJ00
GM0905,0.0,2009JJ00
GM0905,0.0,2010JJ00
GM0905,,2011JJ00
GM0905,,2012JJ00
GM0905,,2013JJ00
GM0905,,2014JJ00
GM0905,,2015JJ00
GM0905,,2016JJ00
GM0905,,2017JJ00
GM0905,,2018JJ00
GM0905,,2019JJ00
GM0905,,2020JJ00
GM0905,,2021JJ00
GM0905,,2022JJ00
GM0905,,2023JJ00
GM1903,,1988JJ00
GM1903,,1989JJ00
GM1903,,1990JJ00
GM1903,,1991JJ00
GM1903,,1992JJ00
GM1903,,1993JJ00
GM1903,,1994JJ00
GM1903,,1995JJ00
GM1903,,1996JJ00
GM1903,,1997JJ00
GM1903,,1998JJ00
GM1903,,1999JJ00
GM1903,,2000JJ00
GM1903,,2001JJ00
GM1903,,2002JJ00
GM1903,,2003JJ00
GM1903,,2004JJ00
GM1903,,2005JJ00
GM1903,,2006JJ00
GM1903,,2007JJ00
GM1903,,2008JJ00
GM1903,,2009JJ00
GM1903,,2010JJ00
GM1903,0.0,2011JJ00
GM1903,0.0,2012JJ00
GM1903,0.0,2013JJ00
GM1903,1.0,2014JJ00
GM1903,0.0,2015JJ00
GM1903,0.0,2016JJ00
GM1903,1.0,2017JJ00
GM1903,0.0,2018JJ00
GM1903,0.0,2019JJ00
GM1903,1.0,2020JJ00
GM1903,1.0,2021JJ00
GM1903,0.0,2022JJ00
GM1903,0.0,2023JJ00
GM0772,0.0,1988JJ00
GM0772,1.0,1989JJ00
GM0772,3.0,1990JJ00
GM0772,2.0,1991JJ00
GM0772,1.0,1992JJ00
GM0772,0.0,1993JJ00
GM0772,0.0,1994JJ00
GM0772,3.0,1995JJ00
GM0772,2.0,1996JJ00
GM0772,1.0,1997JJ00
GM0772,1.0,1998JJ00
GM0772,0.0,1999JJ00
GM0772,4.0,2000JJ00
GM0772,5.0,2001JJ00
GM0772,1.0,2002JJ00
GM0772,2.0,2003JJ00
GM0772,4.0,2004JJ00
GM0772,2.0,2005JJ00
GM0772,0.0,2006JJ00
GM0772,3.0,2007JJ00
GM0772,3.0,2008JJ00
GM0772,1.0,2009JJ00
GM0772,5.0,2010JJ00
GM0772,0.0,2011JJ00
GM0772,3.0,2012JJ00
GM0772,5.0,2013JJ00
GM0772,8.0,2014JJ00
GM0772,6.0,2015JJ00
GM0772,6.0,2016JJ00
GM0772,5.0,2017JJ00
GM0772,3.0,2018JJ00
GM0772,7.0,2019JJ00
GM0772,6.0,2020JJ00
GM0772,6.0,2021JJ00
GM0772,12.0,2022JJ00
GM0772,6.0,2023JJ00
GM0230,0.0,1988JJ00
GM0230,1.0,1989JJ00
GM0230,1.0,1990JJ00
GM0230,0.0,1991JJ00
GM0230,1.0,1992JJ00
GM0230,2.0,1993JJ00
GM0230,0.0,1994JJ00
GM0230,1.0,1995JJ00
GM0230,1.0,1996JJ00
GM0230,0.0,1997JJ00
GM0230,0.0,1998JJ00
GM0230,0.0,1999JJ00
GM0230,2.0,2000JJ00
GM0230,0.0,2001JJ00
GM0230,0.0,2002JJ00
GM0230,0.0,2003JJ00
GM0230,0.0,2004JJ00
GM0230,0.0,2005JJ00
GM0230,0.0,2006JJ00
GM0230,0.0,2007JJ00
GM0230,0.0,2008JJ00
GM0230,0.0,2009JJ00
GM0230,0.0,2010JJ00
GM0230,1.0,2011JJ00
GM0230,0.0,2012JJ00
GM0230,0.0,2013JJ00
GM0230,0.0,2014JJ00
GM0230,1.0,2015JJ00
GM0230,0.0,2016JJ00
GM0230,0.0,2017JJ00
GM0230,0.0,2018JJ00
GM0230,0.0,2019JJ00
GM0230,0.0,2020JJ00
GM0230,0.0,2021JJ00
GM0230,1.0,2022JJ00
GM0230,3.0,2023JJ00
GM0231,0.0,1988JJ00
GM0231,0.0,1989JJ00
GM0231,0.0,1990JJ00
GM0231,0.0,1991JJ00
GM0231,0.0,1992JJ00
GM0231,0.0,1993JJ00
GM0231,0.0,1994JJ00
GM0231,0.0,1995JJ00
GM0231,0.0,1996JJ00
GM0231,0.0,1997JJ00
GM0231,0.0,1998JJ00
GM0231,1.0,1999JJ00
GM0231,0.0,2000JJ00
GM0231,,2001JJ00
GM0231,,2002JJ00
GM0231,,2003JJ00
GM0231,,2004JJ00
GM0231,,2005JJ00
GM0231,,2006JJ00
GM0231,,2007JJ00
GM0231,,2008JJ00
GM0231,,2009JJ00
GM0231,,2010JJ00
GM0231,,2011JJ00
GM0231,,2012JJ00
GM0231,,2013JJ00
GM0231,,2014JJ00
GM0231,,2015JJ00
GM0231,,2016JJ00
GM0231,,2017JJ00
GM0231,,2018JJ00
GM0231,,2019JJ00
GM0231,,2020JJ00
GM0231,,2021JJ00
GM0231,,2022JJ00
GM0231,,2023JJ00
GM0114,0.0,1988JJ00
GM0114,0.0,1989JJ00
GM0114,0.0,1990JJ00
GM0114,0.0,1991JJ00
GM0114,0.0,1992JJ00
GM0114,1.0,1993JJ00
GM0114,2.0,1994JJ00
GM0114,0.0,1995JJ00
GM0114,0.0,1996JJ00
GM0114,0.0,1997JJ00
GM0114,0.0,1998JJ00
GM0114,0.0,1999JJ00
GM0114,2.0,2000JJ00
GM0114,1.0,2001JJ00
GM0114,1.0,2002JJ00
GM0114,0.0,2003JJ00
GM0114,1.0,2004JJ00
GM0114,1.0,2005JJ00
GM0114,3.0,2006JJ00
GM0114,1.0,2007JJ00
GM0114,2.0,2008JJ00
GM0114,0.0,2009JJ00
GM0114,1.0,2010JJ00
GM0114,2.0,2011JJ00
GM0114,1.0,2012JJ00
GM0114,0.0,2013JJ00
GM0114,1.0,2014JJ00
GM0114,1.0,2015JJ00
GM0114,1.0,2016JJ00
GM0114,0.0,2017JJ00
GM0114,3.0,2018JJ00
GM0114,1.0,2019JJ00
GM0114,2.0,2020JJ00
GM0114,0.0,2021JJ00
GM0114,1.0,2022JJ00
GM0114,3.0,2023JJ00
GM0388,1.0,1988JJ00
GM0388,0.0,1989JJ00
GM0388,0.0,1990JJ00
GM0388,0.0,1991JJ00
GM0388,0.0,1992JJ00
GM0388,0.0,1993JJ00
GM0388,0.0,1994JJ00
GM0388,0.0,1995JJ00
GM0388,0.0,1996JJ00
GM0388,0.0,1997JJ00
GM0388,1.0,1998JJ00
GM0388,1.0,1999JJ00
GM0388,0.0,2000JJ00
GM0388,1.0,2001JJ00
GM0388,0.0,2002JJ00
