RegioS,k_40Tot45Jaar_14,Perioden
PV20  ,82.0,1988JJ00
PV20  ,88.0,1989JJ00
PV20  ,86.0,1990JJ00
PV20  ,92.0,1991JJ00
PV20  ,111.0,1992JJ00
PV20  ,109.0,1993JJ00
PV20  ,120.0,1994JJ00
PV20  ,156.0,1995JJ00
PV20  ,122.0,1996JJ00
PV20  ,139.0,1997JJ00
PV20  ,151.0,1998JJ00
PV20  ,179.0,1999JJ00
PV20  ,154.0,2000JJ00
PV20  ,181.0,2001JJ00
PV20  ,185.0,2002JJ00
PV20  ,176.0,2003JJ00
PV20  ,219.0,2004JJ00
PV20  ,196.0,2005JJ00
PV20  ,182.0,2006JJ00
PV20  ,200.0,2007JJ00
PV20  ,198.0,2008JJ00
PV20  ,231.0,2009JJ00
PV20  ,202.0,2010JJ00
PV20  ,228.0,2011JJ00
PV20  ,211.0,2012JJ00
PV20  ,188.0,2013JJ00
PV20  ,196.0,2014JJ00
PV20  ,206.0,2015JJ00
PV20  ,193.0,2016JJ00
PV20  ,170.0,2017JJ00
PV20  ,162.0,2018JJ00
PV20  ,183.0,2019JJ00
PV20  ,204.0,2020JJ00
PV20  ,202.0,2021JJ00
PV20  ,216.0,2022JJ00
PV20  ,208.0,2023JJ00
PV21  ,74.0,1988JJ00
PV21  ,92.0,1989JJ00
PV21  ,64.0,1990JJ00
PV21  ,87.0,1991JJ00
PV21  ,99.0,1992JJ00
PV21  ,118.0,1993JJ00
PV21  ,119.0,1994JJ00
PV21  ,147.0,1995JJ00
PV21  ,114.0,1996JJ00
PV21  ,137.0,1997JJ00
PV21  ,134.0,1998JJ00
PV21  ,169.0,1999JJ00
PV21  ,157.0,2000JJ00
PV21  ,168.0,2001JJ00
PV21  ,192.0,2002JJ00
PV21  ,192.0,2003JJ00
PV21  ,199.0,2004JJ00
PV21  ,207.0,2005JJ00
PV21  ,206.0,2006JJ00
PV21  ,194.0,2007JJ00
PV21  ,218.0,2008JJ00
PV21  ,237.0,2009JJ00
PV21  ,244.0,2010JJ00
PV21  ,234.0,2011JJ00
PV21  ,203.0,2012JJ00
PV21  ,191.0,2013JJ00
PV21  ,189.0,2014JJ00
PV21  ,195.0,2015JJ00
PV21  ,183.0,2016JJ00
PV21  ,189.0,2017JJ00
PV21  ,181.0,2018JJ00
PV21  ,190.0,2019JJ00
PV21  ,197.0,2020JJ00
PV21  ,189.0,2021JJ00
PV21  ,207.0,2022JJ00
PV21  ,206.0,2023JJ00
PV22  ,46.0,1988JJ00
PV22  ,53.0,1989JJ00
PV22  ,58.0,1990JJ00
PV22  ,55.0,1991JJ00
PV22  ,71.0,1992JJ00
PV22  ,81.0,1993JJ00
PV22  ,56.0,1994JJ00
PV22  ,74.0,1995JJ00
PV22  ,72.0,1996JJ00
PV22  ,91.0,1997JJ00
PV22  ,83.0,1998JJ00
PV22  ,81.0,1999JJ00
PV22  ,122.0,2000JJ00
PV22  ,116.0,2001JJ00
PV22  ,121.0,2002JJ00
PV22  ,108.0,2003JJ00
PV22  ,131.0,2004JJ00
PV22  ,130.0,2005JJ00
PV22  ,128.0,2006JJ00
PV22  ,146.0,2007JJ00
PV22  ,132.0,2008JJ00
PV22  ,154.0,2009JJ00
PV22  ,149.0,2010JJ00
PV22  ,158.0,2011JJ00
PV22  ,144.0,2012JJ00
PV22  ,121.0,2013JJ00
PV22  ,115.0,2014JJ00
PV22  ,106.0,2015JJ00
PV22  ,106.0,2016JJ00
PV22  ,142.0,2017JJ00
