Kennziffer,Wert,Zeitbezug
13,14.11,2008
13,13.53,2009
13,12.7,2010
13,12.59,2011
13,12.0,2012
13,11.69,2013
13,11.16,2014
13,10.4,2015
13,9.72,2016
13,8.58,2017
13,7.9,2018
13,7.12,2019
13,7.77,2020
14,17.48,1998
14,17.18,1999
14,17.05,2000
14,17.48,2001
14,17.82,2002
14,17.9,2003
14,17.84,2004
14,18.26,2005
14,17.0,2006
14,14.79,2007
14,12.84,2008
14,12.88,2009
14,11.85,2010
14,10.67,2011
14,9.77,2012
14,9.45,2013
14,8.84,2014
14,8.22,2015
14,7.45,2016
14,6.65,2017
14,5.96,2018
14,5.46,2019
14,6.07,2020
15,20.39,1998
15,20.31,1999
15,20.16,2000
15,19.71,2001
15,19.65,2002
15,20.49,2003
15,20.33,2004
15,20.19,2005
15,18.32,2006
15,16.05,2007
15,13.98,2008
15,13.56,2009
15,12.47,2010
15,11.67,2011
15,11.5,2012
15,11.15,2013
15,10.67,2014
15,10.2,2015
15,9.55,2016
15,8.44,2017
15,7.73,2018
15,7.15,2019
15,7.71,2020
16,17.1,1998
16,15.37,1999
16,15.36,2000
16,15.32,2001
16,15.88,2002
16,16.72,2003
16,16.74,2004
16,17.11,2005
16,15.56,2006
16,13.18,2007
16,11.25,2008
16,11.37,2009
16,9.85,2010
16,8.86,2011
16,8.52,2012
16,8.24,2013
16,7.78,2014
16,7.39,2015
16,6.74,2016
16,6.05,2017
16,5.5,2018
16,5.27,2019
16,5.98,2020
01001000,14.6,1998
01001000,13.0,1999
01001000,11.84,2000
01001000,12.12,2001
01001000,12.09,2002
01001000,13.68,2003
01001000,14.02,2004
01001000,18.28,2005
01001000,15.39,2006
01001000,12.5,2007
01001000,11.46,2008
01001000,12.94,2009
01001000,12.7,2010
01001000,11.89,2011
01001000,11.34,2012
01001000,11.1,2013
01001000,10.55,2014
01001000,9.96,2015
01001000,9.03,2016
01001000,8.95,2017
01001000,8.31,2018
01001000,7.96,2019
01001000,9.06,2020
01002000,13.9,1998
01002000,12.88,1999
01002000,11.31,2000
01002000,11.12,2001
01002000,11.69,2002
01002000,13.42,2003
01002000,13.61,2004
01002000,16.9,2005
01002000,14.73,2006
01002000,12.63,2007
01002000,11.39,2008
01002000,10.9,2009
01002000,10.75,2010
01002000,11.06,2011
01002000,10.12,2012
01002000,10.2,2013
01002000,10.08,2014
01002000,9.87,2015
01002000,9.66,2016
01002000,9.08,2017
01002000,8.18,2018
01002000,7.59,2019
01002000,8.48,2020
01003000,13.41,1998
01003000,13.42,1999
01003000,12.6,2000
01003000,12.26,2001
01003000,12.62,2002
01003000,13.68,2003
01003000,13.98,2004
01003000,18.31,2005
01003000,15.23,2006
01003000,13.12,2007
01003000,12.22,2008
01003000,12.29,2009
01003000,11.17,2010
01003000,11.01,2011
01003000,10.42,2012
01003000,10.4,2013
01003000,10.13,2014
01003000,9.9,2015
01003000,9.07,2016
01003000,8.6,2017
01003000,7.78,2018
01003000,7.28,2019
01003000,8.14,2020
01004000,13.45,1998
01004000,13.39,1999
01004000,12.2,2000
01004000,11.79,2001
01004000,12.07,2002
01004000,13.4,2003
01004000,13.52,2004
01004000,15.65,2005
01004000,14.36,2006
01004000,11.63,2007
01004000,11.0,2008
01004000,11.33,2009
01004000,11.47,2010
01004000,11.23,2011
01004000,11.03,2012
01004000,11.1,2013
01004000,10.92,2014
01004000,10.23,2015
01004000,9.56,2016
01004000,9.21,2017
01004000,8.34,2018
01004000,7.9,2019
01004000,8.92,2020
01051000,10.7,1998
01051000,10.02,1999
01051000,8.99,2000
01051000,9.25,2001
01051000,9.2,2002
01051000,10.5,2003
01051000,11.14,2004
01051000,13.74,2005
01051000,11.78,2006
01051000,10.01,2007
01051000,9.66,2008
01051000,9.64,2009
01051000,8.48,2010
01051000,8.45,2011
01051000,8.04,2012
01051000,7.6,2013
01051000,7.38,2014
01051000,7.34,2015
01051000,7.19,2016
01051000,6.83,2017
01051000,6.27,2018
01051000,5.49,2019
01051000,6.09,2020
01053000,8.32,1998
01053000,8.0,1999
01053000,7.54,2000
01053000,7.7,2001
01053000,7.74,2002
01053000,8.6,2003
01053000,8.86,2004
01053000,9.7,2005
01053000,8.34,2006
01053000,7.19,2007
01053000,6.47,2008
01053000,6.71,2009
01053000,6.4,2010
01053000,6.22,2011
01053000,6.19,2012
01053000,6.2,2013
01053000,6.05,2014
01053000,5.83,2015
01053000,5.66,2016
01053000,5.47,2017
01053000,4.97,2018
01053000,4.68,2019
01053000,5.47,2020
01054000,9.19,1998
01054000,8.13,1999
01054000,7.4,2000
01054000,7.66,2001
01054000,7.91,2002
01054000,9.1,2003
01054000,9.22,2004
01054000,10.12,2005
01054000,9.96,2006
01054000,8.47,2007
01054000,7.94,2008
01054000,7.87,2009
01054000,7.45,2010
01054000,7.53,2011
01054000,6.96,2012
01054000,6.6,2013
01054000,6.37,2014
01054000,5.96,2015
01054000,6.12,2016
01054000,6.14,2017
01054000,5.3,2018
01054000,4.77,2019
01054000,5.3,2020
01055000,10.21,1998
01055000,9.57,1999
01055000,9.03,2000
01055000,8.71,2001
01055000,8.61,2002
01055000,9.57,2003
01055000,9.64,2004
01055000,11.29,2005
01055000,9.75,2006
01055000,8.78,2007
01055000,7.96,2008
01055000,8.0,2009
01055000,7.36,2010
01055000,6.98,2011
01055000,6.54,2012
01055000,6.5,2013
01055000,6.4,2014
01055000,6.13,2015
01055000,5.85,2016
01055000,5.58,2017
01055000,5.14,2018
01055000,4.98,2019
01055000,5.46,2020
01056000,8.42,1998
01056000,8.23,1999
01056000,7.68,2000
01056000,7.45,2001
01056000,7.93,2002
01056000,8.77,2003
01056000,8.66,2004
01056000,10.14,2005
01056000,8.19,2006
01056000,6.78,2007
01056000,5.97,2008
01056000,6.16,2009
01056000,6.07,2010
01056000,5.64,2011
01056000,5.47,2012
01056000,5.4,2013
01056000,5.44,2014
01056000,5.17,2015
01056000,5.17,2016
01056000,5.03,2017
01056000,4.65,2018
01056000,4.52,2019
01056000,5.36,2020
01057000,8.92,1998
01057000,8.38,1999
01057000,7.33,2000
01057000,7.47,2001
01057000,7.69,2002
01057000,8.93,2003
01057000,9.16,2004
01057000,9.79,2005
01057000,8.97,2006
01057000,7.57,2007
01057000,6.96,2008
01057000,6.76,2009
01057000,6.31,2010
01057000,6.12,2011
01057000,5.73,2012
01057000,5.6,2013
01057000,5.69,2014
01057000,5.51,2015
01057000,5.36,2016
01057000,5.04,2017
01057000,4.47,2018
01057000,4.04,2019
01057000,4.72,2020
01058000,9.57,1998
01058000,8.97,1999
01058000,7.69,2000
01058000,7.42,2001
01058000,7.37,2002
01058000,7.97,2003
01058000,7.83,2004
01058000,9.61,2005
01058000,7.45,2006
01058000,6.38,2007
01058000,5.59,2008
01058000,6.05,2009
01058000,5.97,2010
01058000,5.56,2011
01058000,5.49,2012
01058000,5.7,2013
01058000,5.53,2014
01058000,5.25,2015
01058000,4.91,2016
01058000,4.89,2017
01058000,4.33,2018
01058000,3.94,2019
01058000,4.46,2020
01059000,8.92,1998
01059000,8.08,1999
01059000,7.33,2000
01059000,7.69,2001
01059000,7.77,2002
01059000,8.6,2003
01059000,8.75,2004
01059000,10.23,2005
01059000,9.63,2006
01059000,9.54,2007
01059000,8.47,2008
01059000,8.99,2009
01059000,8.99,2010
01059000,8.49,2011
01059000,7.95,2012
01059000,7.7,2013
01059000,7.34,2014
01059000,6.71,2015
01059000,6.25,2016
01059000,6.0,2017
01059000,5.33,2018
01059000,4.3,2019
01059000,5.34,2020
01060000,8.01,1998
01060000,7.48,1999
01060000,6.66,2000
01060000,6.55,2001
01060000,7.1,2002
01060000,8.0,2003
01060000,7.88,2004
01060000,8.39,2005
01060000,7.5,2006
01060000,6.07,2007
01060000,5.08,2008
01060000,5.45,2009
01060000,5.38,2010
01060000,4.96,2011
01060000,4.82,2012
01060000,5.1,2013
01060000,5.02,2014
01060000,4.78,2015
01060000,4.79,2016
01060000,4.68,2017
01060000,4.27,2018
01060000,4.05,2019
01060000,4.98,2020
01061000,9.7,1998
01061000,9.27,1999
01061000,8.49,2000
01061000,8.61,2001
01061000,9.24,2002
01061000,10.38,2003
01061000,10.97,2004
01061000,11.59,2005
01061000,9.8,2006
01061000,7.46,2007
01061000,5.82,2008
01061000,6.09,2009
01061000,6.32,2010
01061000,6.06,2011
01061000,5.87,2012
01061000,6.1,2013
01061000,6.27,2014
01061000,6.4,2015
01061000,6.33,2016
01061000,6.11,2017
01061000,5.58,2018
01061000,5.07,2019
01061000,5.79,2020
01062000,7.15,1998
01062000,6.65,1999
01062000,5.82,2000
01062000,5.8,2001
01062000,6.3,2002
01062000,6.87,2003
01062000,7.04,2004
01062000,7.73,2005
01062000,6.52,2006
01062000,4.81,2007
01062000,4.15,2008
01062000,4.55,2009
01062000,4.43,2010
01062000,4.1,2011
01062000,4.07,2012
01062000,4.2,2013
01062000,4.04,2014
01062000,3.78,2015
01062000,3.6,2016
01062000,3.43,2017
01062000,3.19,2018
01062000,3.06,2019
01062000,3.8,2020
02000000,11.28,1998
02000000,10.36,1999
02000000,8.88,2000
02000000,8.25,2001
02000000,8.97,2002
02000000,9.91,2003
02000000,9.67,2004
02000000,11.3,2005
02000000,10.96,2006
02000000,9.17,2007
02000000,8.13,2008
02000000,8.6,2009
02000000,8.18,2010
02000000,7.82,2011
02000000,7.46,2012
02000000,7.4,2013
02000000,7.55,2014
02000000,7.45,2015
02000000,7.08,2016
02000000,6.83,2017
02000000,6.32,2018
02000000,6.13,2019
02000000,7.55,2020
03101000,13.36,1998
03101000,12.14,1999
03101000,11.17,2000
03101000,10.85,2001
03101000,11.34,2002
03101000,11.79,2003
03101000,11.72,2004
03101000,13.18,2005
03101000,11.96,2006
03101000,10.51,2007
03101000,9.18,2008
03101000,9.29,2009
03101000,8.87,2010
03101000,8.08,2011
03101000,7.43,2012
03101000,7.1,2013
03101000,6.84,2014
03101000,6.48,2015
03101000,6.07,2016
03101000,5.83,2017
03101000,5.33,2018
03101000,4.89,2019
03101000,5.36,2020
03102000,16.26,1998
03102000,14.56,1999
03102000,12.95,2000
03102000,12.32,2001
03102000,11.93,2002
03102000,12.31,2003
03102000,12.44,2004
03102000,14.37,2005
03102000,14.1,2006
03102000,11.57,2007
03102000,9.63,2008
03102000,10.35,2009
03102000,10.0,2010
03102000,9.2,2011
03102000,8.78,2012
03102000,9.3,2013
03102000,9.37,2014
03102000,9.31,2015
03102000,10.49,2016
03102000,10.47,2017
03102000,9.31,2018
03102000,8.79,2019
03102000,9.93,2020
03103000,14.85,1998
03103000,12.26,1999
03103000,10.25,2000
03103000,8.76,2001
03103000,8.42,2002
03103000,8.31,2003
03103000,8.18,2004
03103000,10.79,2005
03103000,10.39,2006
03103000,8.99,2007
03103000,6.99,2008
03103000,6.61,2009
03103000,6.53,2010
03103000,5.72,2011
03103000,5.07,2012
03103000,4.9,2013
03103000,4.77,2014
03103000,4.69,2015
03103000,5.02,2016
03103000,4.93,2017
03103000,4.77,2018
03103000,4.51,2019
03103000,5.15,2020
03151000,12.97,1998
03151000,11.28,1999
03151000,9.93,2000
03151000,9.37,2001
03151000,9.4,2002
03151000,9.53,2003
03151000,9.09,2004
03151000,10.42,2005
03151000,9.98,2006
03151000,8.8,2007
03151000,6.67,2008
03151000,6.35,2009
03151000,6.42,2010
03151000,5.89,2011
03151000,5.34,2012
03151000,5.2,2013
03151000,4.87,2014
03151000,4.64,2015
03151000,4.68,2016
03151000,4.65,2017
03151000,4.4,2018
03151000,3.99,2019
03151000,4.46,2020
03153000,13.09,1998
03153000,12.62,1999
03153000,12.06,2000
03153000,11.65,2001
03153000,11.37,2002
03153000,11.02,2003
03153000,10.64,2004
03153000,13.31,2005
03153000,12.34,2006
03153000,10.44,2007
03153000,9.71,2008
03153000,10.19,2009
03153000,9.79,2010
03153000,9.53,2011
03153000,9.09,2012
03153000,8.8,2013
03153000,8.64,2014
03153000,7.88,2015
03153000,7.62,2016
03153000,7.15,2017
03153000,6.43,2018
03153000,5.91,2019
03153000,6.94,2020
03154000,13.82,1998
03154000,12.75,1999
03154000,11.88,2000
03154000,11.6,2001
03154000,11.3,2002
03154000,11.02,2003
03154000,10.61,2004
03154000,12.53,2005
03154000,12.37,2006
03154000,11.12,2007
03154000,9.14,2008
03154000,9.12,2009
03154000,8.76,2010
03154000,8.0,2011
03154000,7.44,2012
03154000,7.5,2013
03154000,7.18,2014
03154000,7.01,2015
03154000,6.79,2016
03154000,6.89,2017
03154000,6.24,2018
03154000,5.79,2019
03154000,6.22,2020
03155000,11.93,1998
03155000,11.59,1999
03155000,10.64,2000
03155000,10.65,2001
03155000,10.87,2002
03155000,10.94,2003
03155000,10.78,2004
03155000,12.03,2005
03155000,10.82,2006
03155000,9.16,2007
03155000,8.15,2008
03155000,8.55,2009
03155000,7.67,2010
03155000,7.31,2011
03155000,7.07,2012
03155000,7.3,2013
03155000,6.87,2014
03155000,6.68,2015
03155000,6.17,2016
03155000,5.8,2017
03155000,5.41,2018
03155000,5.11,2019
03155000,5.64,2020
03157000,10.77,1998
03157000,10.03,1999
03157000,9.17,2000
03157000,9.38,2001
03157000,9.16,2002
03157000,9.14,2003
03157000,9.12,2004
03157000,11.04,2005
03157000,10.6,2006
03157000,9.33,2007
03157000,7.96,2008
03157000,7.59,2009
03157000,7.19,2010
03157000,6.46,2011
03157000,6.03,2012
03157000,6.0,2013
03157000,6.06,2014
03157000,5.42,2015
03157000,5.56,2016
03157000,5.29,2017
03157000,4.8,2018
03157000,4.44,2019
03157000,5.21,2020
03158000,10.47,1998
03158000,10.05,1999
03158000,10.11,2000
03158000,9.71,2001
03158000,9.31,2002
03158000,9.34,2003
03158000,9.39,2004
03158000,10.49,2005
03158000,9.94,2006
03158000,7.99,2007
03158000,6.84,2008
03158000,6.96,2009
03158000,7.22,2010
03158000,6.73,2011
03158000,6.31,2012
03158000,6.2,2013
03158000,6.0,2014
03158000,5.65,2015
03158000,5.54,2016
03158000,5.49,2017
03158000,4.9,2018
03158000,4.41,2019
03158000,4.89,2020
03159000,13.62,1998
03159000,13.05,1999
03159000,11.91,2000
03159000,11.43,2001
03159000,11.51,2002
03159000,11.5,2003
03159000,11.48,2004
03159000,13.37,2005
03159000,12.79,2006
03159000,11.5,2007
03159000,9.75,2008
03159000,9.06,2009
03159000,8.57,2010
03159000,7.66,2011
03159000,6.69,2012
03159000,7.03,2013
03159000,6.61,2014
03159000,6.15,2015
03159000,6.04,2016
03159000,5.92,2017
03159000,5.71,2018
03159000,5.34,2019
03159000,6.12,2020
03241000,11.43,1998
03241000,10.79,1999
03241000,9.68,2000
03241000,9.69,2001
03241000,10.16,2002
03241000,10.67,2003
03241000,10.34,2004
03241000,14.1,2005
03241000,12.07,2006
03241000,10.04,2007
03241000,9.14,2008
03241000,9.26,2009
03241000,9.07,2010
03241000,8.62,2011
03241000,8.18,2012
03241000,8.2,2013
03241000,8.25,2014
03241000,7.83,2015
03241000,7.49,2016
03241000,7.09,2017
03241000,6.62,2018
03241000,6.41,2019
03241000,7.49,2020
03251000,7.94,1998
03251000,7.33,1999
03251000,6.3,2000
03251000,6.22,2001
03251000,6.52,2002
03251000,6.91,2003
03251000,7.09,2004
03251000,8.43,2005
03251000,7.33,2006
03251000,6.35,2007
03251000,5.26,2008
03251000,5.27,2009
03251000,4.99,2010
03251000,4.51,2011
03251000,4.47,2012
03251000,4.6,2013
03251000,4.58,2014
03251000,4.4,2015
03251000,4.34,2016
03251000,4.2,2017
03251000,3.94,2018
03251000,3.87,2019
03251000,4.57,2020
03252000,12.92,1998
03252000,12.49,1999
03252000,11.34,2000
03252000,11.22,2001
03252000,11.65,2002
03252000,12.22,2003
03252000,12.09,2004
03252000,14.29,2005
03252000,12.36,2006
